N,a,r,rho_C,p_p_C,p_t_C,delta_p,H,H_p,H_t,H_t_over_H_p,delta_over_H,casimir_fraction,constraint_residual,continuity_residual,r0,epsilon
6.46,639.06105656955276,0.49999496397420384,-6.5905100847540084e-12,2.6342128818226608e-12,-4.6123614832883348e-12,-7.2465743651109952e-12,0.99999999999999989,1.0000000000003082,0.99999999999984579,0.99999999999953759,-4.6236714689255895e-13,-2.1968366949180033e-16,1.4802973661668756e-16,0,0.5,0.0001
6.4800000000000004,651.97094627117247,0.49999496397419935,-6.0838075902624273e-12,2.4316849710728038e-12,-4.2577462806676149e-12,-6.6894312517404191e-12,0.99999999999999989,1.0000000000002902,0.99999999999985478,0.99999999999956457,-4.3546083052933401e-13,-2.0279358634208093e-16,1.4802973661668756e-16,1.3277763225768554e-16,0.5,0.0001
6.5,665.14163304436181,0.49999496397419513,-5.6160622348423796e-12,2.2447281460600761e-12,-3.9303951904512281e-12,-6.1751233365113038e-12,0.99999999999999989,1.0000000000002733,0.99999999999986322,0.99999999999958988,-4.1011520832665145e-13,-1.8720207449474601e-16,1.4802973661668756e-16,2.8767258380250064e-16,0.5,0.0001
6.5200000000000005,678.578385339443,0.49999496397419113,-5.184278851307682e-12,2.0721452448222673e-12,-3.6282120480649745e-12,-5.7003572928872417e-12,0.99999999999999989,1.0000000000002573,0.9999999999998711,0.99999999999961375,-3.862436959611088e-13,-1.7280929504358942e-16,1.4802973661668756e-16,0,0.5,0.0001
6.54,692.28657803649162,0.49999496397418736,-4.7856925518686869e-12,1.9128311475828162e-12,-3.3492618497257517e-12,-5.2620929973085679e-12,0.99999999999999989,1.0000000000002425,0.99999999999987865,0.99999999999963618,-3.6376128382705064e-13,-1.5952308506228958e-16,1.4802973661668756e-16,1.6879345218926527e-16,0.5,0.0001
6.5600000000000005,706.2716945953664,0.49999496397418386,-4.4177510234107712e-12,1.7657657002112364e-12,-3.0917583618110042e-12,-4.8575240620222402e-12,0.99999999999999989,1.0000000000002283,0.99999999999988565,0.99999999999965739,-3.4258709115560475e-13,-1.4725836744702575e-16,1.4802973661668756e-16,1.8285176386484119e-16,0.5,0.0001
6.5800000000000001,720.53932924916012,0.49999496397418053,-4.0780981839767994e-12,1.6300071817538699e-12,-2.8540526828653348e-12,-4.4840598646192045e-12,0.99999999999999989,1.0000000000002149,0.99999999999989231,0.99999999999967737,-3.226451538996577e-13,-1.3593660613256e-16,1.4802973661668756e-16,9.904047554816786e-17,0.5,0.0001
6.6000000000000005,735.09518924197323,0.49999496397417736,-3.764559095798648e-12,1.5046862742046337e-12,-2.634622685001641e-12,-4.1393089592062745e-12,0.99999999999999989,1.0000000000002025,0.99999999999989864,0.99999999999969613,-3.0386401095179383e-13,-1.2548530319328829e-16,1.4802973661668756e-16,3.2186779901312258e-16,0.5,0.0001
6.6200000000000001,749.94509711188243,0.49999496397417442,-3.4751260382702462e-12,1.3890004959019274e-12,-2.4320632670860867e-12,-3.821063762988014e-12,0.99999999999999989,1.0000000000001907,0.99999999999990452,0.99999999999971378,-2.8617634711063698e-13,-1.1583753460900824e-16,1.4802973661668756e-16,0,0.5,0.0001
6.6400000000000006,765.09499302003837,0.49999496397417165,-3.2079456516811014e-12,1.2822090629062298e-12,-2.2450773572936655e-12,-3.5272864201998951e-12,0.99999999999999989,1.0000000000001796,0.99999999999991007,0.99999999999973044,-2.6951868710606563e-13,-1.069315217227034e-16,1.4802973661668756e-16,1.2590512038803363e-16,0.5,0.0001
6.6600000000000001,780.55093712680423,0.49999496397416904,-2.9613070693867705e-12,1.1836281454538503e-12,-2.0724676074203107e-12,-3.2560957528741608e-12,0.99999999999999989,1.0000000000001692,0.99999999999991529,0.99999999999974609,-2.5383113499382524e-13,-9.8710235646225708e-17,1.4802973661668756e-16,0,0.5,0.0001
6.6799999999999997,796.31911201590538,0.4999949639741666,-2.7336309624212451e-12,1.0926264891117654e-12,-1.9131287257665052e-12,-3.0057552148782707e-12,0.99999999999999989,1.0000000000001592,0.99999999999992017,0.99999999999976097,-2.3905715323001146e-13,-9.1121032080708178e-17,1.4802973661668756e-16,1.4775102748888763e-16,0.5,0.0001
6.7000000000000002,812.4058251675433,0.49999496397416426,-2.5234594263996872e-12,1.0086213725941213e-12,-1.7660403994969042e-12,-2.7746617720910255e-12,0.99999999999999989,1.0000000000001499,0.99999999999992484,0.99999999999977496,-2.2514337573594121e-13,-8.4115314213322913e-17,1.4802973661668756e-16,0,0.5,0.0001
