run_id,run_kind,perturbation,r0,epsilon,delta0,max_q,N_at_max_q,first_crossing_N,last_crossing_N,dwell_time_within_0p1_percent,dwell_time_within_1_percent,q_at_N_10,q_at_N_20,max_abs_delta_over_H,max_abs_casimir_fraction,minimum_H_p,minimum_H_t,constraint_residual,continuity_residual,classification,valid,invalid_reason
198,grid,baseline,1.5,1.3990503141372929e-06,0.0,1.0000001435668049,0.29,,,0.0,0.0,0.9999999999999993,0.999999999999998,1.43566791137795e-07,4.438657877179479e-07,0.9999997780062602,0.9999997780671801,1.4802980232202317e-16,3.110619245583384e-16,NO_CROSSING,True,
199,grid,baseline,1.5,1.9573417814876616e-06,0.0,1.0000002008572126,0.29,,,0.0,0.0,0.9999999999999574,1.0,2.008571858106735e-07,6.20990679734432e-07,0.999999689419575,0.9999996895048047,1.4802982854177431e-16,3.1641301306000757e-16,NO_CROSSING,True,
200,grid,baseline,1.5,2.7384196342643613e-06,0.0,1.0000002810094002,0.29,,,0.0,0.0,0.9999999999999787,0.9999999999999993,2.810093475390717e-07,8.687974208524585e-07,0.9999995654823317,0.9999995656015727,1.4802985533669137e-16,3.2785802669527247e-16,NO_CROSSING,True,
201,grid,baseline,1.5,3.831186849557285e-06,0.0,1.0000003931463914,0.29,,,0.0,0.0,0.9999999999999997,0.9999999999999993,3.931462884717677e-07,1.2154917259688488e-06,0.999999392087867,0.999999392254691,1.480299027119993e-16,3.2060038484592886e-16,NO_CROSSING,True,
202,grid,baseline,1.5,5.3600231653917955e-06,0.0,1.0000005500317857,0.29,,,0.0,0.0,1.0,1.0,5.500315839760931e-07,1.7005349058794573e-06,0.9999991495002363,0.9999991497336316,1.4802998834642173e-16,3.1694350821870414e-16,NO_CROSSING,True,
203,grid,baseline,1.5,7.498942093324558e-06,0.0,1.000000769522544,0.29,,,0.0,0.0,0.9999999999999957,1.0,7.695221490952494e-07,2.379135508751036e-06,0.9999988101078364,0.9999988104343682,1.4803008879949027e-16,3.280410845820031e-16,NO_CROSSING,True,
204,grid,baseline,1.5,1.0491397291363112e-05,0.0,1.0000010766015424,0.29,,,0.0,0.0,0.999999999999983,0.9999999999999997,1.0766007696502966e-06,3.3285334409855793e-06,0.9999983352805994,0.9999983357374342,1.480302293386161e-16,3.2895829352523123e-16,NO_CROSSING,True,
205,grid,baseline,1.5,1.4677992676220705e-05,0.0,1.0000015062212628,0.29,,,0.0,0.0,0.9999999999999953,0.9999999999999997,1.5062197504425691e-06,4.656791941622038e-06,0.9999976709730262,0.9999976716121612,1.4803027887309724e-16,3.2375636818702554e-16,NO_CROSSING,True,
206,grid,baseline,1.5,2.0535250264571462e-05,0.0,1.0000021072823395,0.29,,,0.0,0.0,1.0000000000000009,0.9999999999999997,2.107279378905654e-06,6.515098335768344e-06,0.9999967415725665,0.9999967424667494,1.4803070104497821e-16,3.2321471833296155e-16,NO_CROSSING,True,
207,grid,baseline,1.5,2.8729848333536687e-05,0.0,1.0000029481999095,0.29,,,0.0,0.0,0.9999999999999993,0.9999999999999913,2.9481941149034327e-06,9.114974070875982e-06,0.9999954412931117,0.9999954425441203,1.4803098216489515e-16,3.2339484782404363e-16,NO_CROSSING,True,
208,grid,baseline,1.5,4.019450333615128e-05,0.0,1.0000041246915419,0.29,,,0.0,0.0,1.0000000000000009,0.9999999999999997,4.124680199896012e-06,1.2752353721772737e-05,0.9999936221338945,0.9999936238841219,1.4803155032448684e-16,2.627782045715801e-16,NO_CROSSING,True,
209,grid,baseline,1.5,5.623413251903491e-05,0.0,1.0000057706735677,0.29,,,0.0,0.0,1.0000000000000007,0.9999999999999993,5.77065136719241e-06,1.78412752716664e-05,0.9999910770330664,0.999991079481729,1.4803181412386305e-16,3.7786005242796204e-16,NO_CROSSING,True,
210,grid,baseline,1.5,7.86743807659941e-05,0.0,1.0000080735068362,0.29,,,0.0,0.0,0.9999999999999993,0.9999999999999993,8.073463381969181e-06,2.4961019485073017e-05,0.9999875162980826,0.9999875197238973,1.480324196995547e-16,3.1175623011440593e-16,NO_CROSSING,True,
211,grid,baseline,1.5,0.00011006941712522103,0.0,1.0000112953287301,0.29,,,0.0,0.0,1.0000000000000007,0.9999999999999993,1.1295243674309693e-05,3.4922070000134265e-05,0.9999825346294068,0.9999825394223183,1.4803490612151173e-16,3.1942936850751082e-16,NO_CROSSING,True,
212,grid,baseline,1.5,0.0001539926526059492,0.0,1.0000158029024413,0.29,,,0.0,0.0,1.0000000000000007,0.9999999999999993,1.580273595511438e-05,4.8858413878403085e-05,0.9999755649826312,0.9999755716882036,1.4803696911482545e-16,3.1123307134020814e-16,NO_CROSSING,True,
213,grid,baseline,1.5,0.00021544346900318845,0.0,1.0000221093868804,0.29,,,0.0,0.0,0.9999999999999997,0.9999999999999873,2.2109061001954333e-05,6.835671203327958e-05,0.9999658140145969,0.9999658233961236,1.4803945865186256e-16,3.2393363680386196e-16,NO_CROSSING,True,
214,grid,baseline,1.5,0.0003014162529877392,0.0,1.000030932793065,0.29,,,0.0,0.0,1.0,0.999999999999997,3.0932155186296486e-05,9.563708820980034e-05,0.9999521717601302,0.9999521848855415,1.4804280520147221e-16,2.906911921216041e-16,NO_CROSSING,True,
215,grid,baseline,1.5,0.00042169650342858224,0.0,1.0000432778030757,0.29,,,0.0,0.0,1.0000000000000002,1.0000000000000002,4.327655446620191e-05,0.00013380620488445092,0.999933085247377,0.9999331036108469,1.4804730384766552e-16,3.459805685805412e-16,NO_CROSSING,True,
216,grid,baseline,1.5,0.0005899746255923565,0.0,1.0000605503084805,0.29,,,0.0,0.0,1.0,1.0000000000000002,6.054786435245668e-05,0.00018721160921738404,0.9999063816442902,0.9999064073364111,1.480563626686703e-16,2.964380975998448e-16,NO_CROSSING,True,
217,grid,baseline,1.5,0.000825404185268019,0.0,1.0000847177916095,0.29,,,0.0,0.0,1.0000000000000002,1.0000000000000002,8.471300714355829e-05,0.0002619380292511747,0.9998690207631382,0.9998690567090837,1.4806851123416747e-16,3.167522002072573e-16,NO_CROSSING,True,
218,grid,baseline,1.5,0.0011547819846894581,0.0,1.0001185339739005,0.29,,,0.0,0.0,1.0000000000000007,0.9999999999999997,0.000118524607771878,0.00036650279134510093,0.9998167486676798,0.999816798960559,1.4808398992835963e-16,3.233802598728861e-16,NO_CROSSING,True,
219,grid,baseline,1.5,0.0016155980984398745,0.0,1.000165853632986,0.29,,,0.0,0.0,1.0000000000000002,1.0,0.00016583529672849694,0.0005128308484413381,0.9997436127894153,0.9997436831569553,1.4810565083211124e-16,3.2554065211852895e-16,NO_CROSSING,True,
220,grid,baseline,1.5,0.0022603030271419215,0.0,1.000232074071882,0.29,,,0.0,0.0,1.0000000000000007,1.0,0.00023203817185300506,0.0007176230177969287,0.9996412830361834,0.9996413814942338,1.481359661630021e-16,3.2552904102133596e-16,NO_CROSSING,True,
221,grid,baseline,1.5,0.0031622776601683794,0.0,1.000324754764338,0.29,,,0.0,0.0,1.0000000000000002,1.0,0.00032468446911910413,0.0010042783013389036,0.999498100980694,0.9994982387486704,1.4817839966912456e-16,3.840796652418065e-16,NO_CROSSING,True,
222,grid,baseline,1.5,0.004424185553847919,0.0,1.0004544882080737,0.29,,,0.0,0.0,1.0000000000000004,1.0,0.0004543505434309088,0.0014055991774825152,0.9992977476514786,0.999297940435388,1.482378070927189e-16,3.2394105027208607e-16,NO_CROSSING,True,
223,grid,baseline,1.5,0.00618965818891261,0.0,1.0006361260229335,0.29,,,0.0,0.0,1.0000000000000004,1.0,0.0006358563664124874,0.0019676076113486246,0.9990173758309085,0.9990176456228236,1.4830955882306469e-16,2.918229661977831e-16,NO_CROSSING,True,
224,grid,baseline,1.5,0.008659643233600663,0.0,1.0008905095172025,0.29,,,0.0,0.0,1.0000000000000007,1.0,0.0008899811594073645,0.0027549451592662304,0.9986249894436277,0.9986253670479935,1.484375504230071e-16,3.284336922295133e-16,NO_CROSSING,True,
225,grid,baseline,1.5,0.012115276586285901,0.0,1.0012469207451347,0.29,,,0.0,0.0,1.0000000000000009,1.0,0.0012458850651788068,0.0038585488314258126,0.9980757622567042,0.9980762908419657,1.4860091658392612e-16,3.2020623277171374e-16,NO_CROSSING,True,
226,grid,baseline,1.5,0.01694988151390348,0.0,1.0017465706675863,0.29,,,0.0,0.0,1.0000000000000013,1.0000000000000002,0.001744539360069937,0.005406628839175241,0.9973068581859026,0.9973075982872686,1.4879853362742498e-16,4.391785391958858e-16,NO_CROSSING,True,
227,grid,baseline,1.5,0.023713737056616554,0.0,1.0024475960543093,0.29,,,0.0,0.0,1.0000000000000024,1.0000000000000004,0.0024436087428978603,0.007580500834811614,0.996230126764544,0.9962311633499105,1.4902413284669428e-16,3.27793671712482e-16,NO_CROSSING,True,
228,grid,baseline,1.5,0.03317671127842862,0.0,1.0034322825797384,0.29,,,0.0,0.0,1.0000000000000033,1.0000000000000016,0.0034244468003397266,0.010637681072690981,0.9947217693652424,0.9947232218530098,1.496044297440903e-16,4.1109249971005914e-16,NO_CROSSING,True,
229,grid,baseline,1.5,0.04641588833612782,0.0,1.0048176347271283,0.29,,,0.0,0.0,1.0000000000000042,1.0000000000000002,0.00480221119418421,0.0149460967784901,0.9926076548573519,0.9926096913947985,1.5006975681366566e-16,2.6907920812310557e-16,NO_CROSSING,True,
230,grid,baseline,1.5,0.06493816315762113,0.0,1.0067711006437483,0.29,,,0.0,0.0,1.0000000000000062,1.0000000000000007,0.006740672794482999,0.021035804074236133,0.9896423230491834,0.9896451810147735,1.507849869985516e-16,3.197862653717306e-16,NO_CROSSING,True,
231,grid,baseline,1.5,0.0908517575651688,0.0,1.009534485376989,0.29,,,0.0,0.0,1.0000000000000087,1.0000000000000007,0.009474263889977788,0.029679286444930765,0.985478700411102,0.9854827161604569,1.5175720708887544e-16,3.285469703477131e-16,NO_CROSSING,True,
232,grid,baseline,1.5,0.12710617996147458,0.0,1.01346137949,0.29,,,0.0,0.0,1.000000000000012,1.0000000000000002,0.01334164816402809,0.042020485849219025,0.9796238849586709,0.9796295376120987,1.5425001806945267e-16,3.316269792128732e-16,NO_CROSSING,True,
233,grid,baseline,1.5,0.1778279410038923,0.0,1.0190784127613832,0.28,,,0.0,0.0,1.0000000000000169,1.0,0.01883880312014548,0.059791372892817315,0.9713734825304985,0.9713814597518461,1.565136991109718e-16,3.1270178785597167e-16,NO_CROSSING,True,
