r,Lp,Lt,rho,p_p,p_t,p_t_minus_p_p,trace,p2_p3_abs_split,w_p,w_t,rho_fit_rms,p_p_fit_rms,p_t_fit_rms
0.39685026299204984,1,0.39685026299204984,-15.634441612629276,8.9850709623842189,-12.309756287506744,-21.294827249890965,7.1054273576010019e-15,1.7763568394002505e-15,-0.57469727317451547,0.78734863658725751,1.6391211632834212e-06,2.8495275742398557e-08,8.3379249601369965e-07
0.41561894807139382,1,0.41561894807139382,-13.263527926917501,7.2010665838206638,-10.232297255369161,-17.433363839189823,-1.5631940186722204e-13,3.5527136788005009e-15,-0.54292241276218445,0.77146120638109816,1.4258202233083545e-06,2.3480002569818876e-08,7.2463326935741646e-07
0.43527528164806206,1,0.43527528164806206,-11.269117084050249,5.7417034641969691,-8.5054102741236015,-14.247113738320571,1.4210854715202004e-14,3.5527136788005009e-15,-0.50950783645007047,0.75475391822503457,1.2403484378874937e-06,1.8428631491607742e-08,6.2936976914641641e-07
0.4558612442791084,1,0.4558612442791084,-9.5897572378586204,4.5500822446644555,-7.0699197412615664,-11.620001985926022,-5.6843418860808015e-14,2.6645352591003757e-15,-0.47447314168721155,0.73723657084360872,1.0791041597747594e-06,1.3379038329684922e-08,5.462192709796966e-07
0.47742080195520825,1,0.47742080195520825,-8.1741842844230153,3.5790799516123162,-5.8766321180176373,-9.4557120696299535,5.6843418860808015e-14,1.7763568394002505e-15,-0.43785163474142913,0.71892581737071104,9.3895038238605425e-07,8.3762396598989907e-09,4.7363281560993009e-07
0.5,1,0.5,-6.9796191537648946,2.7896816885419797,-4.8846504211534478,-7.6743321096954276,-2.1316282072803006e-14,3.5527136788005009e-15,-0.39968967175482495,0.69984483587741397,8.1715440893945291e-07,3.4999082623759021e-09,4.1026483647244982e-07
0.52364706141031336,1,0.52364706141031336,-5.9703510663693393,2.149595447250364,-4.0599732568098599,-6.2095687040602243,-1.5987211554602254e-14,6.2172489379008766e-15,-0.36004506658895108,0.68002253329447693,7.1133547202668937e-07,1.6707994818130383e-09,3.549465053424684e-07
0.54841248984731295,1,0.54841248984731295,-5.1165586043154381,1.6321023554096803,-3.3743304798625662,-5.0064328352722463,-1.4210854715202004e-14,3.5527136788005009e-15,-0.31898439588537553,0.6594921979426891,6.1941911211748445e-07,6.1415721869588514e-09,3.0666248207941085e-07
0.57434917749851744,1,0.57434917749851744,-4.3933285537287921,1.2151027475738376,-2.8042156506513107,-4.0193183982251481,7.9936057773011271e-15,4.8849813083506888e-15,-0.27657907500283169,0.63828953750141493,5.3959752226897044e-07,1.0558461557608e-08,2.6453055826053623e-07
0.60151251804105832,1,0.60151251804105832,-3.7798392161611116,0.88032512569235222,-2.3300821709267172,-3.2104072966190693,2.9309887850104133e-14,1.3322676295501878e-15,-0.23290015139491302,0.61645007569745258,4.702950741609974e-07,1.4739789223653258e-08,2.2778384507201375e-07
