t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
3.27,2.831062095274613,0.24937304769646673,0.1474243511048286,3.3522459536674276,0.7962849033434153,0.14366401562334866,0.06191804815670432,-0.0007532723819771124,-1.627017964800359e-12,1.1236102527122116,-3.469446951953614e-18
3.2800000000000002,2.8351279304833517,0.25083927642754933,0.14581339971747434,3.3601451831210674,0.7836220235096172,0.14336136363931792,0.06165744175534148,-0.001758809947939182,-1.7672391328105164e-12,1.1236102527122116,0.0
3.29,2.839191101466556,0.25228915887050957,0.14415539987508497,3.367919597246106,0.7713200845411868,0.14306500301134462,0.061402785261801915,-0.0027545213003630255,-1.8937837409360725e-12,1.1236102527122116,2.0816681711721685e-17
3.3000000000000003,2.8432517578034884,0.2537222336218451,0.1424521569662643,3.3755727532978193,0.7593687003312911,0.14277485440334975,0.06115397715145336,-0.0037401233853616017,-1.7602030943919544e-12,1.1236102527122116,0.0
3.31,2.8473100478003714,0.25513805701008047,0.14070541241775575,3.383108106001176,0.7477577512333963,0.14249083758218375,0.06091091638586135,-0.00471533791256,-1.2445391939230888e-12,1.1236102527122116,6.938893903907228e-18
3.3200000000000003,2.8513661184477663,0.25653620247037623,0.13891684647081534,3.390529010228273,0.7364773858445326,0.14221287143918626,0.06067350240955052,-0.005679891453109612,-6.14966411127682e-13,1.1236102527122116,6.938893903907228e-18
3.33,2.85542011537836,0.2579162599459245,0.1370880808551352,3.397838723685108,0.7255180215394061,0.141940874012371,0.060441635146697495,-0.006633515536146106,-5.101752353908751e-13,1.1236102527122116,6.938893903907228e-18
3.34,2.859472182825122,0.2592778353148081,0.13522068135860066,3.405040409591236,0.7148703439206839,0.14167476250931627,0.06021521499746327,-0.007575946743738349,-1.2497780588205387e-12,1.1236102527122116,-3.469446951953614e-18
3.35,2.8635224635799696,0.26062054984210925,0.13331616029393997,3.4121371393421738,0.7045253053276358,0.14141445333059222,0.059994142834132014,-0.00850692680449587,-1.761285561840964e-12,1.1236102527122116,0.0
3.36,2.8675710989538774,0.26194403966069074,0.13137597888286467,3.4191318951945187,0.6944741225108796,0.14115986209245582,0.059778320000237736,-0.009426202684939006,-2.3542973126566835e-12,1.1236102527122116,6.938893903907228e-18
3.37,2.871618228736386,0.263247955266758,0.12940154952363317,3.426027572877997,0.6847082736629363,0.14091090365187842,0.05956764830618877,-0.010333526678222751,-2.221882400288422e-12,1.1236102527122116,3.469446951953614e-18
3.38,2.8756639911571664,0.2645319610488352,0.12739423797773647,3.4328269842039423,0.6752194948016993,0.14066749212995486,0.05936203002852096,-0.01122865649340088,-2.128221210373482e-12,1.1236102527122116,-6.938893903907228e-18
3.39,2.8797085228466863,0.2657957348293753,0.12535536545242082,3.43953285961852,0.6659997757096744,0.14042954093735727,0.059161367906794014,-0.012111355340625733,-3.163309891807131e-12,1.1236102527122116,1.0408340855860843e-17
3.4,2.8837519587976863,0.2670389674270902,0.12328621059292087,3.4461478507113132,0.6570413554606744,0.14019696280015934,0.058965565140802326,-0.012981392014275731,-5.634541444532459e-12,1.1236102527122116,3.469446951953614e-18
3.41,2.887794432327648,0.2682613622403296,0.12118801138928482,3.452674532681659,0.6483367176021331,0.13996966978578115,0.058774525388591944,-0.013838540974125846,-8.770095760723962e-12,1.1236102527122116,3.469446951953614e-18
3.42,2.891836075042165,0.26946263485024957,0.11906196699980598,3.45911540675942,0.639878585061354,0.13974757332912657,0.05858815276516102,-0.0146825824244326,-1.10221970439639e-11,1.1236102527122116,6.938893903907228e-18
3.43,2.895877016799139,0.27064251264251604,0.11690923949307049,3.4654729025768827,0.6316599148360804,0.13953058425898504,0.05840635184169933,-0.01551330239080358,-1.0738160360901361e-11,1.1236102527122116,-3.469446951953614e-18
3.44,2.899917385673707,0.2718007344462835,0.11473095551063611,3.471749380488457,0.623673892522676,0.13931861282476982,0.05822902764520875,-0.016330492794709873,-6.954402331782461e-12,1.1236102527122116,0.0
3.45,2.903957307923816,0.2729370501891951,0.11252820785235147,3.4779471338348777,0.615913926728817,0.13911156872366426,0.058056085658338495,-0.017133951525486142,-6.22071838485283e-14,1.1236102527122116,0.0
3.46,2.907996907956361,0.2740512205671446,0.11030205698633051,3.484068391148585,0.608373643411892,0.13890936112824848,0.057887431819264284,-0.017923482509641448,7.910158639212739e-12,1.1236102527122116,0.0
3.47,2.9120363082938012,0.2751430167275446,0.10805353248559185,3.490115318296974,0.6010468801791953,0.13871189871467784,0.05772297252144036,-0.01869889577728144,1.3652773356298553e-11,1.1236102527122116,-6.938893903907228e-18
3.48,2.9160756295411634,0.2762122199648439,0.10578363439337782,3.4960900205602026,0.5939276805814332,0.13851908969148555,0.05756261461305652,-0.019460007525416958,1.381693370827719e-11,1.1236102527122116,0.0
3.49,2.920114990353351,0.2772586214270366,0.10349333451916251,3.5019945446402367,0.5870102884270051,0.13833084182908073,0.05740626539603519,-0.020206640177906993,7.391268153078556e-12,1.1236102527122116,0.0
