H0,Omega_m,n
69.72144827905234,0.3441486193724708,0.0008448873743317802
69.4756529601016,0.3600408014550048,0.012738975752563225
69.818029280435,0.3487732413332307,0.008284067018892855
69.5856670133862,0.3603904710021718,0.0013396945981996925
69.68751503222025,0.34789194718217853,0.002831245152900113
69.60369920404281,0.3635273166288562,0.004208618606955838
69.66131714399815,0.3526625276433434,0.01061728665652947
69.46825743776286,0.3577997532872731,0.00481956790459275
69.73424923826212,0.348080987842726,0.002157375500250692
69.65569896246404,0.35037722640396485,0.00275403352663304
69.82193287893178,0.34988896208279857,0.0005701509694334411
69.6502842170457,0.3573563077448159,0.006238870882891859
69.49953245646341,0.36084582277629057,0.005795570828500373
69.49282129293246,0.3615779471642388,0.011261298185521032
69.81651589743657,0.3499818544366817,0.0007318216413246155
69.87969592967562,0.3478164734487434,0.002348762573924731
69.37745943680144,0.3659720201712184,0.0017576006876798033
69.36356927584085,0.36274587877750597,0.004281377429803643
69.64346716708114,0.34805912144420925,0.0026842555293928455
69.66970889141733,0.35110457407526763,0.004738809428293164
69.66855233964232,0.3529718642825567,0.004500996337376834
69.397115269669,0.35987318253633027,0.0014187351296944548
69.65016875876935,0.35950054186216734,0.007724469569927258
69.66135863746267,0.35019894710243876,0.0007984661167551536
69.62062463897453,0.35066855189838414,0.0013685238896825394
69.66512800501773,0.3496844626213053,0.00698979815376894
69.6412761443606,0.34997339645086595,0.002355850992040623
69.54750598445723,0.36057380785430265,0.0016120228549988944
69.6272879343584,0.358667104392752,0.000484509401523359
69.7207531302468,0.34984586891392444,0.00469285290290937
69.4576555797252,0.36562669980354656,0.003622373131421255
69.4738344368765,0.3518419370255246,0.007522657716250089
69.57888073004173,0.34914559543315893,0.004437326014692884
69.67462980900308,0.35253200129746076,0.00025964985231378154
69.76562810544384,0.34824748815538625,0.0012483625693373384
69.66759943140018,0.36087603275951474,0.002648979114224395
69.61491837418318,0.3578233670965779,0.005164140244109343
69.65934056252352,0.361515206640843,0.0022095637250258387
69.80663615160893,0.34727634655160977,0.00983741246993398
69.4053081579577,0.3642382304326129,0.005831130782277413
69.79957106756937,0.3491994193220138,0.0007279916165073568
69.5534928462968,0.3536387270840943,0.002451232138286739
69.73851767827702,0.35303964992027054,0.001872206085080839
69.46568897613447,0.36217328604732824,0.005063809075731567
69.71049326784706,0.35541016671714964,0.005734267122681736
69.47281390385373,0.35850172032738886,0.0031233497189160297
69.6459585807003,0.35147761413790807,0.008454667474471947
69.86725205069426,0.3491823427225507,0.0011715799828394876
69.52404001889033,0.3582620410830126,0.0006688005737161178
69.3531228923427,0.36424315827006476,0.004008614829192935
69.61717681667108,0.34935695331380606,9.987631919874604e-05
69.72183983107774,0.3518555630999975,0.00044303663325450667
69.60922698878836,0.35115170049563016,0.0001337014135405776
69.27289647535925,0.3529100305249797,0.0032860994744740983
69.67808441693214,0.35149085590892537,0.0031175591197799032
69.88285611577841,0.33873578683187183,0.0003462045684178362
69.66303473979391,0.3498164328779728,0.002333000283498535
69.58828427614237,0.35755459773325354,0.004363937693849199
69.66008178685611,0.35069590047932203,0.002181181086650821
69.68677340682332,0.35707302534383356,0.0012718611752971984
69.58220632203961,0.36023316311427994,0.0013043794122056748
69.68253683899367,0.3498765171526545,0.006780417984392081
69.38756505571644,0.36321658507214344,0.0032267361701803932
69.60911255654477,0.3552756878122056,0.0033274113922914907
69.62172895704859,0.35000259609488266,0.004202331897575886
69.59782682796393,0.3561791680739633,0.00050429879464846
69.58967237013103,0.3616174741127483,7.029799845882602e-05
69.64314357889621,0.3584469037820082,0.0004589199677736335
69.44212953872449,0.35585341293463857,0.006320920587422984
69.5031350596535,0.3561643546962733,0.00019394835184569602
69.62132853772093,0.3505892373316788,0.004728511365285846
69.80783897751795,0.352334379464692,0.01687981884698902
69.78509229731907,0.3494014550769116,0.0003309584331570624
69.62246647727214,0.3464792322408948,3.2550256046793256e-05
69.66219660920686,0.3596568029831493,0.00032728871940411865
69.26099157314519,0.3653947993238488,0.0002894226602747961
69.75915340740639,0.3486161335874007,0.0011437710977967126
69.50847370021371,0.3571442543501609,0.0012729607958422945
69.74866673098411,0.3557049074685619,0.007962247803195667
69.52593875496467,0.36099579855323094,0.0006167998395322896
69.65713851535841,0.3519701269932113,0.0015397968965430065
69.29574133496003,0.3709500629555127,0.00305973397682326
69.66068341447871,0.3461519179430661,0.0002442916073307662
69.59403995666028,0.35497443848491894,0.00440900624444885
69.53501870936306,0.3510526018668849,0.0019794446886622842
69.44480495839377,0.35462600209881806,0.0021613716498469658
69.74056979290727,0.35380584750031213,0.0015649104312771712
69.79807583487452,0.34776019860641755,0.0006117191617687968
69.75340188315202,0.3464073575183369,0.001982810622156048
69.77794507286357,0.34737181975334364,0.008267141488815084
69.69590649547989,0.3504676382877877,0.00219525090714935
69.77429139237306,0.356528314950599,0.001417829979894596
69.4811076002107,0.36560871927420124,0.002289357585698211
69.63769282086588,0.3480451417170926,0.006715153744484332
69.60548309803669,0.34950489836206133,0.00183158946847711
69.74474352224469,0.3477239266699575,7.224773896656513e-05
69.507457226334,0.3473288752588026,0.003132238110390032
69.63559405725286,0.35689802417132177,0.00013879851209105715
69.78209960824104,0.35165974653381527,0.0005619188287522606
69.58628303340465,0.3564684258820095,0.0001868030517730846
69.50168014735547,0.3525255138353115,0.003825048327182237
69.42035119573559,0.3593077617575282,0.0003710518354044503
69.66160295606764,0.353618685794979,0.005840447943980275
69.706635537065,0.3537455552349469,0.006568823563537668
69.90026166102533,0.34394410962153005,0.00020069975017860254
69.66900384144122,0.343810093864131,0.0006821856329566358
69.64015040760717,0.35980544949787757,0.0007969250836122091
69.66890301880295,0.35153771059390804,0.0020050664441096148
69.69616918077026,0.3494158481314644,6.8631734871774965e-06
69.42989244188006,0.35419727076498475,0.002447051325968282
69.58518940388139,0.35513071579316996,0.0065110567435365686
69.53146450897187,0.3612982405431986,0.002657929855010361
69.55726754607007,0.3526928929417936,0.0025214977852417875
69.32664995493226,0.35790787181792855,0.004212856340856
69.67600054528302,0.34661105197528386,0.0008203765821540527
69.4889911925606,0.36380668991478937,0.006442036453663582
69.50494160200448,0.35314161075129535,0.0004788557811852396
69.31615207314634,0.35218863281392077,0.0020577744803006795
69.61529598765581,0.35292546820172727,0.0030965154746089964
69.75979392279895,0.3444875018106284,0.0032618722323975937
69.56978657770131,0.3563501263027363,0.005501808663233091
69.7519938262055,0.3448711541625849,0.005585010872276995
69.76654761044675,0.3570046921514147,0.005890446122983197
69.81033977492335,0.3523357130260903,0.0009549120590649348
69.53924513581296,0.3576960522604875,0.0023861918642598926
69.55085709331263,0.3549743667204625,0.0019540779452102116
69.514624171901,0.3443561066012395,0.0030340199752200096
69.7126255110608,0.3511866394948133,0.0003911447487005073
69.43536196599072,0.3557993865264029,0.010670917501577502
69.63516977941802,0.3549464396102009,0.00024647700055600624
69.73341019041263,0.35033162195684886,0.0020425199340224865
69.61914916882648,0.35545520288880494,0.001172984702700581
69.71324212015783,0.35095487364522504,0.0017123854214700248
69.54073917153501,0.3594440597065937,0.002088800367149821
69.61923250410122,0.3559153362656299,0.004533031502814663
69.68053922976289,0.3487650785106358,0.006154000020174327
69.63560200483367,0.3434062134799548,0.0010377179249477075
69.73044427069641,0.3458155301157999,5.6294553645114265e-05
69.57339591459909,0.3676103122683651,0.0013607427521074588
69.76152079917289,0.351718815954476,1.5958693323643233e-05
69.62006479037474,0.34722078414192353,0.0011878804783082588
69.30826865754216,0.3569424135792566,0.00676468357979295
69.66820924696012,0.3543999893033384,0.0067347690241092405
69.5751082649861,0.3597959380060644,0.0020850416862382985
69.53671640371697,0.36073955921248,0.002919753163654815
69.40648838278797,0.35789679465344476,0.004319981031668205
69.67589021376209,0.35014567568448246,0.0003642114427333243
69.73618068602237,0.3505021204431209,0.008342394339620866
69.45209511033985,0.35737226075222117,0.001847086852699608
69.46256724499742,0.35106615882042835,0.0017074008789546363
69.54736822010933,0.35046288349356,0.007738820606376899
69.5302687571781,0.36011274881513294,0.004355166610287807
69.51983045805463,0.35544903882919704,0.008216151807880628
69.746598123038,0.3461586315453468,0.0017923360983802452
69.66730017820852,0.355483018640887,0.004479670277898348
69.70145288231947,0.34893779289816573,0.00022821490646376084
69.61707573103725,0.3572451963826415,0.003149682366702794
69.66630669241276,0.3566366720416086,0.0026549308465165945
69.50903119635126,0.344047943937047,0.0038168340964416718
69.7584070993298,0.34873540327468794,0.0036035953511102067
69.49285539276221,0.361472108107579,0.009657988173500939
69.57213127264853,0.35096720912492263,0.0007672720259315269
69.67116978276059,0.36286656529087175,0.008907586915121871
69.61841874259736,0.36017860276561664,0.0007323044734251467
69.71820493052937,0.3553368052917585,0.0009907637489468602
69.45645813320348,0.3605197756045656,0.0005948260707395927
69.80216167443832,0.35289359623635375,0.006787729130914515
69.54925532501501,0.3481223828381632,0.011097728678175989
69.79804147536001,0.3443495887410276,0.0016515311500263725
