Galaxy,Upsilon_disk,Upsilon_bulge,H0,Chi2_nu,dof,High_Fidelity,Prior_Clipped
NGC3972,0.0281145395458708,4.254387195721872,69.93779951934805,0.5142041041993205,7,1,0
NGC3992,0.967669996802679,3.858652199274461,74.55951489475456,0.34649169640361505,6,1,0
NGC4010,0.0187465098497375,3.8058629691720336,70.57028461965096,0.615917149934468,9,1,0
NGC4013,0.276125670935354,4.163762240179127,67.0547298162118,0.3499144841433246,33,1,0
NGC4051,0.07892362591696135,3.8176047429761537,71.96224109727774,0.5840446778773444,4,1,0
NGC4068,0.0146231602093877,4.143369529433203,65.09802472882242,3.0715363244085414,3,1,0
NGC4085,0.01948409150102775,3.903728983467496,71.59203971008864,0.9679355740439317,4,1,0
NGC4088,0.031296266886295,3.6653509269291344,71.86052487510824,0.3900470132816813,9,1,0
NGC4100,0.0555627262884506,4.20117598448047,72.48342050738651,0.15489774270711318,21,1,0
NGC4138,0.22139268167984125,3.8647029449589017,70.29667536301841,1.34517383704125,4,1,0
NGC4157,0.02272857823569695,3.952966433087807,73.49775030876837,0.28755701888546303,14,1,0
NGC4183,0.03431098494383855,3.7043412042782133,72.71308584984878,0.39170968406356177,20,1,0
NGC4214,0.012897005225046,4.008060419820518,67.59953187976409,0.9153852649123593,11,1,0
NGC4217,0.0277716835286229,3.420604215742183e-05,51.9332508346222,14.771907706912085,16,0,0
NGC4389,0.0198413061830855,3.9592207372822577,73.96947048032739,1.257493515834236,3,1,0
NGC4559,0.0160052764073566,4.04636196808582,69.9423509178468,0.41052131901623673,29,1,0
NGC5005,0.0104101789785975,6.122808921162729e-05,56.45196733397815,3.994885207788474,15,1,0
NGC5033,0.0122025284423423,0.0008289841501482,62.06164263687846,1.4875067718976456,19,1,0
NGC5055,0.0124165732310574,4.156036599006541,71.19068158114015,0.4222873934034424,25,1,0
NGC5371,0.0267312142821335,3.7711001710274914,74.41009786942637,0.20908890023212906,16,1,0
NGC5585,0.0103403270776526,4.259166367127673,57.15021559775404,2.846081572664118,21,1,0
NGC5907,0.19087226705203605,4.09909668765569,73.63790107072373,0.23198828755187506,16,1,0
NGC5985,0.034531094617618704,4.0630031753320495,68.16815759063158,0.42164852001486064,30,1,0
NGC6015,0.0113422754984476,3.772925000275249,64.56108808091385,0.5568748237579916,41,1,0
NGC6195,0.0162622312882737,0.0003448183476629,57.176432100690405,3.886008125557678,20,1,0
NGC6503,0.0156467894361684,4.104586818614623,70.49896249981228,0.3331387358692951,28,1,0
NGC6674,0.0383627169446828,3.832251325556566,67.54398560900317,0.7566857339196483,12,1,0
NGC6789,0.0115778220067356,3.944567496092241,60.08900499920607,17.25573960679705,1,0,0
NGC6946,0.0102380550419223,2.688398275367508e-05,52.32341654418517,3.877190325301776,55,1,0
NGC7331,0.0219105246346715,3.5920148402317222,71.244900201306,0.15840091889093968,33,1,0
NGC7793,0.0101475845134787,3.9131493186235744,52.01013998128238,3.192111435514934,43,1,0
NGC7814,0.0175513628970623,4.451268839074081e-05,52.95568166233706,11.765377220929189,15,0,0
PGC51017,0.0303193532241219,4.015492446319846,71.02213200390528,1.8590304977297152,3,1,0
UGC00128,0.0467270429886138,3.795918506479747,66.83807417223883,0.936321143847574,19,1,0
UGC00191,0.0262609296274029,4.295994358760478,68.8065694622366,0.9271537854057105,6,1,0
UGC00634,3.746826633644166,4.171471182507708,74.72815243360549,3.2770898597756397,1,1,0
UGC00731,0.3358244631232606,4.067308595220416,70.7501851325229,3.916138171792297,9,1,0
UGC00891,2.029720070086179,3.5454320482331,72.55008814270215,2.7060431027914973,2,1,0
UGC01230,0.0237059256085595,4.124681050297215,68.20158074905859,1.1998216912364887,8,1,0
UGC01281,0.0101997415647385,3.8582373522168387,51.09880242715606,9.552828214944832,22,0,0
UGC02023,0.0313655322680068,3.9268616879888216,69.65717808934656,2.134234812099937,2,1,0
UGC02259,0.1170877741677987,4.097744222048403,72.64214442938646,0.786484023702674,5,1,0
UGC02455,0.018658656169954,3.9878531219356583,70.59440747284879,0.9362670577980768,5,1,0
UGC02487,0.2816170254770196,3.5946185189534123,70.78591272337363,0.6500201755050258,14,1,0
UGC02885,0.020722182533404652,0.00685917104797075,65.17941758252829,1.4130703656259902,16,1,0
UGC02916,0.01138115142935215,1.0671806688893714e-06,50.268266941804214,24.822457609330357,40,0,1
UGC02953,0.0100108651322475,1.4831800012423556e-07,50.21769367406149,16.81653627380822,112,0,1
UGC03205,0.0102932023447573,4.133539660899372e-06,50.64331996797159,7.312015658143077,45,0,1
UGC03546,0.0106333243507075,0.0005160383118962,52.28664116677414,5.578939691012045,27,0,0
UGC03580,0.0101281189296967,3.1359555119261655e-06,50.50403324941385,8.673737407197239,44,0,1
UGC04278,0.0106372271358623,4.066211488269921,53.3240807075752,2.4937281739986337,22,1,0
UGC04305,0.011502191004209052,3.7026912240051337,58.37561723162328,1.3415044092022494,19,1,0
UGC04325,0.0352443494042944,3.914277085560042,69.14753608113432,0.7661463860809297,5,1,0
UGC04483,0.011955867285957301,4.057653581047728,58.35919500713368,4.735574261052477,5,1,0
UGC04499,0.1450412657776904,4.03618287092399,72.23299323611876,0.9453576298047586,6,1,0
UGC05005,0.0311036636912072,4.237526358122713,69.3304448447304,1.3219314082058875,8,1,0
UGC05253,0.0100644382496061,4.8044977604947894e-08,50.15917417101086,30.124990107089857,70,0,1
UGC05414,0.0574830460692816,4.1184184182688295,71.8634336181932,1.151915259095109,3,1,0
UGC05716,0.24361511396752866,3.702125558157546,72.62168792011408,2.288267284803469,9,1,0
UGC05721,0.0104785227490696,3.7058186943619207,57.02317647068577,2.466262018932406,20,1,0
UGC05750,0.01232877076989445,4.307124510966423,59.817850457293815,2.0851600332930667,8,1,0
UGC05764,0.0503540198647917,4.054796394506052,71.21153756207728,2.5675803922513465,7,1,0
UGC05829,0.0247055375978957,4.024795419411723,68.54141676825317,1.9629867303542923,8,1,0
UGC05918,0.039679455978352,3.7816853366875836,68.53689397960352,0.9114376048030802,5,1,0
UGC05986,0.0222699714448802,4.014443363143029,71.41457483422596,0.4942710613979498,12,1,0
UGC05999,2.7936228090871067,4.163182515309977,73.36950578027263,2.0659802858976413,2,1,0
UGC06399,0.0443635893376831,4.01960110264259,70.40417480370276,0.7095595867135547,6,1,0
UGC06446,0.0379221913295312,3.895589683618944,70.34642285381241,1.1969559997485673,14,1,0
UGC06614,0.1835906665612867,0.0110968993409016,53.33611448290708,11.177215468281268,10,0,0
UGC06628,0.0743347519024337,4.027373431580125,69.67156399783725,0.8912720097920339,4,1,0
UGC06667,0.050493764036650304,3.859260287340895,70.7694611788212,1.3357135705440515,6,1,0
UGC06786,0.01013271288585105,2.0848066150016998e-07,50.19989314382024,30.02475119113653,42,0,1
UGC06787,0.0101001081315834,1.881507998126031e-08,50.09708030082154,46.071455491354875,68,0,1
UGC06818,0.0684775099215379,4.089563277825367,71.17564142523386,0.7172202779472743,5,1,0
UGC06917,0.1919735100012477,4.039322034164766,71.49845645361754,0.3563925712437834,8,1,0
UGC06923,0.1109444812557243,4.022743268097668,73.10842612818897,0.8789749417767835,3,1,0
UGC06930,0.2028706797048583,3.9800915594185375,72.98953045433663,0.6604489139203898,7,1,0
