Galaxy,V_flat_kms,M_b_Msun,V_ITSM_unren_kms,V_ITSM_ren_kms,ML_source
UGC05750,77.6,7302732791.262682,83.50384682613176,102.27090814177369,mcmc
UGC05764,50.0,329544969.5422656,38.48697715068163,47.1367278806626,mcmc
UGC05829,65.6,1938703006.8090663,59.93947729489145,73.4105674108109,mcmc
UGC05918,42.6,266629075.65430513,36.501608870056614,44.70515826114357,mcmc
UGC05986,109.0,1808587376.8008568,58.90742028204755,72.14656087734662,mcmc
UGC05999,97.7,19395803244.51297,106.60119492201723,130.5592667649557,mcmc
UGC06399,85.6,1342054071.5264502,54.673595314028574,66.9612054613957,mcmc
UGC06446,83.2,2643343902.9980006,64.76994789277636,79.32666150197831,mcmc
UGC06614,204.0,67725543490.27048,145.72137318233305,178.47150445720226,mcmc
UGC06628,42.3,2033962208.500304,60.66257625048838,74.29617914818685,mcmc
UGC06667,85.0,1143316388.3631449,52.52629126436923,64.33130583925704,mcmc
UGC06786,215.0,7262353619.708079,83.3881767633658,102.12924182562755,mcmc
UGC06787,252.0,10041798040.753561,90.42489248047218,110.74742331159416,mcmc
UGC06818,71.2,826914196.0661609,48.43956588126214,59.3261098855108,mcmc
UGC06917,110.0,5058242133.919846,76.17895907569094,93.29978943590224,mcmc
UGC06923,79.3,1459259446.4916563,55.83008110049083,68.37760549720264,mcmc
UGC06930,108.0,7941494589.9747305,85.27283295633379,104.43746483230147,mcmc
UGC06973,178.0,33444567136.615707,122.15648433194383,149.6105276927752,mcmc
UGC06983,108.0,7000684382.585778,82.62667089558292,101.19659141952586,mcmc
UGC07089,77.6,1657836258.8831575,57.63954433322297,70.59373631146296,mcmc
UGC07125,65.1,5816863166.623392,78.88734544387897,96.6168717500874,mcmc
UGC07151,74.0,1086475463.2687635,51.8609073757759,63.516380334195766,mcmc
UGC07261,74.7,1441651294.8011212,55.660895213589654,68.17039594990858,mcmc
UGC07323,82.8,1210511536.833813,53.28161297341515,65.25638222866176,mcmc
UGC07399,103.0,1006048885.595851,50.87329900612068,62.30681204851713,mcmc
UGC07524,82.3,3050206526.443847,67.13012283664258,82.21727366006539,mcmc
UGC07559,31.1,163414556.35017976,32.296675143907976,39.5551872455015,mcmc
UGC07577,15.9,33376853.596106004,21.711832446408327,26.591455437252097,mcmc
UGC07603,63.0,294312828.50328165,37.41428313802649,45.82295139009075,mcmc
UGC07608,66.0,665380592.023291,45.877808329871854,56.18861046269688,mcmc
UGC07690,56.9,535297569.23896945,43.44941646867169,53.214449984962904,mcmc
UGC07866,30.6,114298341.15248975,29.535553378741046,36.17351752432561,mcmc
UGC08286,83.8,1322149614.6198797,54.46973734069105,66.7115314540583,mcmc
UGC08490,77.6,1213579928.8232405,53.315345345048385,65.29769577781944,mcmc
UGC08550,57.5,620735394.6590511,45.08808164243529,55.22139675245788,mcmc
UGC08699,182.0,7326514025.050819,83.57174620381592,102.35406755636305,mcmc
UGC08837,46.6,535595693.76992077,43.45546480198571,53.22185765016972,mcmc
UGC09037,150.0,35948923546.45413,124.38173284782948,152.3358894001779,mcmc
UGC09133,227.0,68586405848.22902,146.1822498231853,179.0359607594302,mcmc
UGC09992,33.4,335794389.9972169,38.66815844188755,47.358628737859156,mcmc
UGC10310,72.4,1887980680.3456807,59.54352162219415,72.92562273137648,mcmc
UGC11455,272.0,28013275980.43943,116.8627509363197,143.1270548659702,mcmc
UGC11557,81.6,2918441313.6019654,66.39308845719509,81.3145945837978,mcmc
UGC11820,81.25,4614327123.293831,74.44957541121464,91.18173566216649,mcmc
UGC11914,297.0,3100263147.7971373,67.40386030757234,82.55253222369433,mcmc
UGC12506,226.0,81299492100.90457,152.53063858632115,186.81111733868082,mcmc
UGC12632,73.1,2516592282.105152,63.97913225316242,78.35811410314487,mcmc
UGC12732,95.5,6909195760.668677,82.35538557734955,100.8643361173357,mcmc
UGCA281,28.8,25907914.46792105,20.379486832903627,24.959671980191136,mcmc
UGCA442,56.5,427181677.0389548,41.06655616054778,50.29605404334557,mcmc
UGCA444,37.6,118399865.90397131,29.797026898497894,36.49375587665252,mcmc
