Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
F579-V1,114.0,4027960639.49907,71.96253188457308,42.03746811542692,mcmc
F583-1,85.8,5925921425.605109,79.25453140641183,6.5454685935881685,mcmc
F583-4,67.2,425214174.90392196,41.01918845389156,26.180811546108444,mcmc
IC2574,67.1,1832378463.538829,59.100196528205466,7.999803471794529,mcmc
IC4202,243.0,23956845130.670506,112.38090799779746,130.61909200220254,mcmc
KK98-251,34.2,222865109.23684314,34.90162524812386,-0.7016252481238539,mcmc
NGC0024,109.0,1148001042.7165687,52.58001443570784,56.41998556429216,mcmc
NGC0055,86.5,5671129962.719623,78.38853181313752,8.111468186862481,mcmc
NGC0100,90.4,1086892049.1661398,51.86587790148952,38.53412209851049,mcmc
NGC0247,107.0,4169691529.3788996,72.58737851987466,34.41262148012534,mcmc
NGC0289,165.0,48513736980.66882,134.06064751287934,30.939352487120658,mcmc
NGC0300,92.8,1480200723.2294838,56.02931118941415,36.770688810585845,mcmc
NGC0801,216.0,66651598106.40362,145.1402183537841,70.85978164621591,mcmc
NGC0891,210.0,9861701875.133762,90.01670207509241,119.98329792490759,mcmc
NGC1003,113.0,10315177206.029564,91.03414207227708,21.965857927722922,mcmc
NGC1090,162.0,20167014617.439453,107.6454143138659,54.3545856861341,mcmc
NGC1705,71.5,292705869.52689034,37.363107391516465,34.136892608483535,mcmc
NGC2366,49.4,968544333.1699914,50.39239580342821,-0.9923958034282094,mcmc
NGC2403,135.0,7818997485.355425,84.94208142085105,50.05791857914895,mcmc
NGC2683,155.0,29683282600.224903,118.56680361084474,36.433196389155256,mcmc
NGC2841,289.0,249656184518.6261,201.9159899689379,87.08401003106209,mcmc
NGC2903,180.0,6406344350.633437,80.8142040953118,99.1857959046882,mcmc
NGC2915,86.1,938349808.7287477,49.99497123308741,36.10502876691258,mcmc
NGC2955,248.0,52852412908.94834,136.96239294181822,111.03760705818178,mcmc
NGC2976,85.3,499674128.9879549,42.70776520151846,42.592234798481535,mcmc
NGC2998,213.0,42527107242.98355,129.7184022987652,83.2815977012348,mcmc
NGC3109,66.3,569531650.791947,44.12803576116723,22.171964238832764,mcmc
NGC3198,150.0,23894969915.024982,112.30827387288309,37.69172612711691,mcmc
NGC3521,206.0,8304632187.2768545,86.23135906732654,119.76864093267346,mcmc
NGC3726,168.0,19808541409.314358,107.16383691894366,60.83616308105634,mcmc
NGC3741,50.2,291065427.54876363,37.31064752190514,12.889352478094864,mcmc
NGC3769,118.0,11007752268.519373,92.52514878916445,25.474851210835553,mcmc
NGC3877,170.0,4260839139.1659203,72.98084962140913,97.01915037859087,mcmc
NGC3893,176.0,12521851936.782562,95.55474798483829,80.44525201516171,mcmc
NGC3917,137.0,4137255282.6272817,72.44579959582619,64.55420040417381,mcmc
NGC3949,165.0,5395123208.792089,77.41684567636791,87.58315432363209,mcmc
NGC3953,223.0,24898812335.520363,113.46966909254567,109.53033090745433,mcmc
NGC3972,134.0,2320032242.741233,62.691496293084434,71.30850370691556,mcmc
NGC3992,241.0,258178778845.13782,203.61757737943083,37.38242262056917,mcmc
NGC4010,124.0,3141080088.2431307,67.6246270231966,56.375372976803405,mcmc
NGC4013,174.0,87191240279.31401,155.222024775167,18.777975224833,mcmc
NGC4051,154.0,10666396000.68722,91.79933944580246,62.20066055419754,mcmc
NGC4068,36.0,217725515.10230803,34.698640713390105,1.3013592866098946,mcmc
NGC4085,133.0,1444902126.3129122,55.69224665536031,77.30775334463969,mcmc
NGC4088,171.0,16228038354.720886,101.95338199145036,69.04661800854964,mcmc
NGC4100,158.0,9163614519.532894,88.37955963569877,69.62044036430123,mcmc
NGC4138,147.0,43324140925.03067,130.3219652019695,16.678034798030495,mcmc
NGC4157,185.0,23142055385.540024,111.41293431810858,73.58706568189142,mcmc
NGC4183,112.0,6524388750.637921,81.18393315109657,30.816066848903432,mcmc
NGC4214,80.6,269073872.5558925,36.58499606667213,44.01500393332786,mcmc
NGC4217,177.0,4868804985.6461735,75.45546942752225,101.54453057247775,mcmc
NGC4389,95.9,1080283808.6585379,51.7868621373556,44.11313786264441,mcmc
NGC4559,120.0,13422650343.384245,97.2287493877489,22.771250612251094,mcmc
NGC5005,264.0,8964424016.208794,87.89531521715736,176.10468478284264,mcmc
NGC5033,194.0,20136988344.122528,107.60532413577914,86.39467586422086,mcmc
