galaxy,N_points,chi2_C23,chi2_C1,delta_chi2,delta_bic,success_23,success_1
UGC03546,30,90.11724475358001,29.816080230939853,-60.30116452264016,-60.30116452264015,True,True
UGC05716,12,134.98590928723604,159.20310258515033,24.217193297914292,24.217193297914292,True,True
UGC02916,43,514.3487424326852,502.6834346759223,-11.6653077567629,-11.6653077567629,True,True
UGC05414,6,2.6044065747039777,4.131745990569543,1.5273394158655655,1.5273394158655655,True,True
UGC02487,17,55.27781110864358,56.07166195986119,0.7938508512176057,0.7938508512175986,True,True
UGC05999,5,12.485837055343648,13.553409682951052,1.0675726276074045,1.0675726276074045,True,True
UGC06667,9,101.76032510434791,42.106440636161736,-59.65388446818618,-59.65388446818617,True,True
UGC06399,9,4.017100594270505,2.9011122469498005,-1.1159883473207044,-1.1159883473207035,True,True
UGC06446,17,21.940709276812235,19.594462629354464,-2.3462466474577717,-2.3462466474577752,True,True
UGC05918,8,3.471037522222268,6.4535641337568395,2.9825266115345714,2.9825266115345723,True,True
UGC05253,73,537.445007862969,421.3615374272817,-116.08347043568727,-116.08347043568727,True,True
UGC06818,8,29.79065621820405,31.88264372378368,2.091987505579631,2.091987505579631,True,True
UGC07125,13,60.02182292207824,341.3249167378922,281.30309381581395,281.30309381581395,True,True
UGC05986,15,119.74030447886243,66.46882626735012,-53.2714782115123,-53.27147821151229,True,True
UGC06614,13,21.325967342469482,15.488972586306348,-5.836994756163135,-5.836994756163133,True,True
UGC06917,11,15.622592090478559,11.596553422886409,-4.02603866759215,-4.02603866759215,True,True
UGC07399,10,204.26436722201436,40.91011702048809,-163.35425020152627,-163.35425020152627,True,True
UGC06930,10,5.5660316886102885,11.17112405832625,5.605092369715961,5.605092369715962,True,True
UGC06786,45,1438.6468751288094,548.3290219499203,-890.3178531788891,-890.317853178889,True,True
UGC07577,9,30.94767268091779,86.01846860625035,55.07079592533256,55.070795925332554,True,True
UGC06983,17,20.69793841495776,19.355712952395862,-1.342225462561899,-1.3422254625618955,True,True
UGC07559,7,4.672173852815763,14.040326491667347,9.368152638851583,9.368152638851585,True,True
UGC07261,7,2.4289623333742174,3.796853442588817,1.3678911092145998,1.3678911092146002,True,True
UGC06973,9,200.54876967195327,151.83831182667572,-48.710457845277546,-48.710457845277546,True,True
UGC07323,10,4.0819414237320375,3.3400641892335368,-0.7418772344985007,-0.7418772344984994,True,True
UGC07608,8,10.817696520803523,4.860581539884209,-5.957114980919314,-5.9571149809193145,True,True
UGC07866,7,1.226821386529573,6.550298478318656,5.3234770917890835,5.3234770917890835,True,True
UGC07603,12,49.98832897178588,22.12155568225471,-27.866773289531174,-27.866773289531174,True,True
UGC08837,8,16.419582573580506,44.310038114453974,27.890455540873468,27.890455540873468,True,True
UGC06923,6,6.547244221609096,4.604682145975243,-1.9425620756338526,-1.9425620756338535,True,True
UGC07151,11,19.638619100945196,26.00545369283931,6.366834591894115,6.366834591894115,True,True
UGC07524,31,52.65776472758068,58.347551686663245,5.689786959082568,5.689786959082568,True,True
UGC08286,17,40.37924448699822,39.93429127879053,-0.4449532082076857,-0.4449532082076786,True,True
UGC08490,30,16.731019582684475,7.321614331154525,-9.40940525152995,-9.40940525152995,True,True
UGC07089,12,3.602217598753025,7.188648348345891,3.5864307495928665,3.586430749592866,True,True
UGC06787,71,3228.59305026043,2087.0169139319723,-1141.5761363284578,-1141.5761363284578,True,True
UGC09992,5,6.188302237424173,14.769582835789778,8.581280598365606,8.581280598365606,True,True
UGC08550,11,16.96957840441197,13.590243887809729,-3.37933451660224,-3.379334516602242,True,True
UGC11557,12,37.01767970601257,70.66213374702585,33.644454041013276,33.64445404101328,True,True
UGC09037,22,112.94914300514212,93.7963987852625,-19.152744219879622,-19.152744219879622,True,True
UGC10310,7,4.718732532545879,10.492609399101472,5.773876866555593,5.773876866555593,True,True
UGC08699,41,50.2398211511084,32.1667593130585,-18.073061838049902,-18.07306183804991,True,True
UGC12632,15,28.995178504476247,35.80954034327243,6.814361838796184,6.814361838796188,True,True
UGC12732,16,15.137768826716584,18.34612718481453,3.2083583580979465,3.2083583580979465,True,True
UGC11820,10,26.072642326006665,31.19963887694042,5.126996550933754,5.126996550933754,True,True
UGC11455,36,270.3022603613579,227.81909660732157,-42.483163754036354,-42.483163754036354,True,True
UGCA281,7,1.4293709079777377,1.6190357298649438,0.18966482188720613,0.18966482188720768,True,True
UGC12506,31,38.54261046949976,51.755764767597285,13.213154298097521,13.213154298097521,True,True
UGC07690,7,2.8297794825511344,7.79254275296006,4.962763270408925,4.962763270408926,True,True
UGCA444,36,8.188449354661334,13.896065643609301,5.707616288947968,5.707616288947968,True,True
UGCA442,8,68.42001824032783,49.263104253348594,-19.15691398697924,-19.156913986979234,True,True
UGC09133,68,444.82089896776694,448.67351074015176,3.8526117723848188,3.8526117723848188,True,True
UGC11914,65,228.7445918298362,171.58642632181312,-57.158165508023075,-57.158165508023075,True,True
