sector,t,q_over_H,mode,omega,omega_over_scale,residue_denominator,relative_kernel_residual
1.0,4.0,10.0,1.0,1.1380082247181011,8.609934110258523,3.000942000231163,1.4226502691812887e-15
1.0,4.0,10.0,2.0,1.7469929237197699,13.217385988612762,3.4939858474395398,3.809338962962791e-16
1.0,4.0,10.0,3.0,1.9922476581691637,15.0729324231399,3.0911303475398704,3.3317363494829124e-16
1.0,4.0,100.0,1.0,13.024113455806766,98.53774011765633,16.22939558364197,4.229053366652181e-18
1.0,4.0,100.0,2.0,14.034799082118038,106.18437786571039,15.766319388514352,2.3430689247558576e-18
1.0,4.0,100.0,3.0,15.059538448745958,113.9373432970806,0.20016742637179435,1.138810709843635e-19
1.0,4.0,100.0,4.0,174.6992923719771,1321.7385988612768,349.3985847439542,4.244067748319043e-16
0.0,4.0,0.0,1.0,0.99729390949942,7.545318797216206,0.8715870653508038,6.305249127928456e-16
1.0,6.0,0.01,1.0,1299.2864596049499,14221.455046606823,97.43761042652606,6.543936752449119e-17
1.0,6.0,0.1,1.0,8.346833671255027e-05,0.000913610073896635,0.00016693667342510053,2.2521416524637564e-24
1.0,6.0,0.1,2.0,129.98731453472755,1422.7876667373582,9.758735923201975,1.8072924652133046e-17
1.0,6.0,1.0,1.0,0.008346833671255958,0.0913610073896737,0.016693667342511917,5.42107498844133e-20
1.0,6.0,1.0,2.0,13.61166424215616,148.9876768116147,1.1146535194721645,6.174449960136925e-17
1.0,6.0,10.0,1.0,0.8346833671255905,9.136100738967313,1.669366734251181,3.609391770089588e-17
1.0,6.0,10.0,2.0,0.8897036976581156,9.738330641028837,0.09397770140782008,1.1236819246798647e-16
1.0,6.0,10.0,3.0,3.733111251007929,40.86109991197292,1.2848898442346681,1.4406316000943082e-16
