q_over_H,minimum_normalized_kinetic_eigenvalue,minimum_kinetic_time,maximum_normalized_kinetic_condition,maximum_condition_time,minimum_constraint_singular_value,minimum_constraint_time,negative_kinetic_count,numerical_zero_count
0.12589254117941676,9.365789737116048e-05,2.52,63505.5113492536,2.52,0.12495500444451559,7.37,0.0,0.0
0.15848931924611143,0.0001484309066538264,2.52,40072.81006216894,2.52,0.12495617668392925,7.37,0.0,0.0
0.19952623149688808,0.000235229897427712,2.52,25287.77674364276,2.52,0.12495803457345879,7.37,0.0,0.0
0.25118864315095824,0.00037277096175291485,2.52,15959.052358049428,2.52,0.12496097916826503,7.37,0.0,0.0
0.31622776601683794,0.0005906934053269142,2.52,10073.026078324478,2.52,0.12496564613282968,7.37,0.0,0.0
0.3981071705534973,0.0009359128718920973,2.52,6359.195709221805,2.52,0.1249730430150957,7.37,0.0,0.0
0.5011872336272725,0.0014826363911724164,2.52,4015.928866880941,2.52,0.1249847668910606,7.37,0.0,0.0
0.6309573444801936,0.002348099974950009,2.52,2537.4301034931955,2.52,0.1250033495085121,7.37,0.0,0.0
0.7943282347242822,0.0037171730274033962,2.52,1604.564650278583,2.52,0.12503280480609713,7.37,0.0,0.0
1.0,0.005880510923665705,2.52,1015.9729909690257,2.52,0.12507949793624082,7.37,0.0,0.0
1.2589254117941675,0.009292930438211444,2.52,644.6072954315997,2.52,0.12515352574752098,7.37,0.0,0.0
1.584893192461114,0.014660769969096286,2.52,410.3080731829942,2.52,0.12527091267280024,7.37,0.0,0.0
1.9952623149688808,0.023067768695262725,2.52,262.501698725316,2.52,0.12545711099408932,7.37,0.0,0.0
2.5118864315095824,0.03614445344651962,2.52,169.28405429458653,2.52,0.12575259864540672,7.37,0.0,0.0
3.1622776601683795,0.056266574902049046,2.52,110.53397332759084,2.52,0.12622187727737744,7.37,0.0,0.0
3.981071705534973,0.08671464100076498,2.52,73.56997367504238,2.52,0.12696804637287412,7.38,0.0,0.0
5.011872336272725,0.131611921960902,2.52,50.412652048347915,2.52,0.12815617316775427,7.38,0.0,0.0
6.309573444801936,0.19528083259377504,2.52,36.061436072852615,2.52,0.13005441489966837,7.38,0.0,0.0
7.943282347242821,0.2805629199839138,2.52,27.412644142343705,2.52,0.13305924723534995,8.0,0.0,0.0
10.0,0.3861134149593696,2.52,22.58261489690842,2.52,0.13772531879929695,8.0,0.0,0.0
12.589254117941687,0.504203559629699,2.52,20.484106072074855,2.52,0.14532202199952107,8.0,0.0,0.0
15.848931924611142,0.6219214175408438,2.52,20.554529539703427,2.52,0.15785566596224146,8.0,0.0,0.0
19.952623149688787,0.7264597295632121,2.52,22.56237369319323,2.52,0.1598084658545226,8.0,0.0,0.0
25.11886431509582,0.8103663746240879,2.52,26.43288101463049,2.52,0.1448718602630832,8.0,0.0,0.0
31.622776601683793,0.8726187820398608,2.52,32.055335618572364,2.52,0.1267288480032027,8.0,0.0,0.0
39.81071705534978,0.9162858777094801,2.52,39.091356526788054,2.52,0.10758561800729853,8.0,0.0,0.0
50.11872336272725,0.9457791554219399,2.52,46.885557632858266,2.52,0.09039551403876245,8.0,0.0,0.0
63.09573444801943,0.9652130856889559,2.52,54.585622526645146,2.52,0.07701334476197058,8.0,0.0,0.0
79.43282347242821,0.9778170352683142,2.52,61.426028954953345,2.52,0.0675675562457556,8.0,0.0,0.0
100.0,0.9859091988118349,2.52,66.96666789505127,2.52,0.061259479216032656,8.0,0.0,0.0
125.89254117941688,0.9910714682013957,2.52,71.13238819061017,2.52,0.05716370385367704,8.0,0.0,0.0
158.48931924611142,0.9943513391445964,2.52,74.09339558217633,2.52,0.05454080928158349,8.0,0.0,0.0
199.5262314968883,0.9964298905136638,2.52,76.11540053741403,2.52,0.05287258979680553,8.0,0.0,0.0
251.18864315095823,0.9977450017340098,2.52,77.45874635751183,2.52,0.051815285349715225,8.0,0.0,0.0
316.22776601683796,0.9985762310707478,2.52,78.33501268211312,2.52,0.05114643397256038,8.0,0.0,0.0
398.1071705534977,0.9991012795730049,2.52,78.89979513077478,2.52,0.05072376281729897,8.0,0.0,0.0
501.18723362727246,0.9994327932100107,2.52,79.26101115428287,2.52,0.05045682424531902,8.0,0.0,0.0
630.9573444801943,0.9996420559654899,2.52,79.49089156733476,2.52,0.05028829981546013,8.0,0.0,0.0
794.3282347242822,0.9997741283949396,2.52,79.6367283655198,2.52,0.05018192984479709,8.0,0.0,0.0
1000.0,0.9998574750214396,2.52,79.729062622115,2.52,0.05011479985706854,8.0,0.0,0.0
