t,largest_normalized_singular_value,smallest_normalized_singular_value,normalized_condition_number,initial_q_over_H,q_over_H,complex_mode_count,maximum_abs_imaginary_omega_over_H,maximum_real_mode_adiabaticity,force_mode_adiabaticity
0.96,2139.8508429617627,0.00018214763940802294,11747892.258808544,0.01,0.009809165592651815,1.0,1626.0202558340245,nan,52184.21070715052
0.97,2359.6418750665007,0.00016382470600898104,14403455.574870024,0.01,0.009806269501207082,2.0,1673.361115889687,nan,52407.572575515114
0.98,2601.4445878665397,0.00014738638859382937,17650507.707571678,0.01,0.009803719685765244,2.0,1718.7037550932205,nan,52629.26520779332
0.99,2867.356330050286,0.0001326370704537174,21618061.37787721,0.01,0.009801518562211795,2.0,1762.1754289185908,nan,52849.24343125762
1.0,3159.6590958841452,0.00011940136489138641,26462503.998663105,0.01,0.009799668392826928,2.0,1803.8847716620096,nan,53067.462949055596
1.01,3480.8341138080714,0.00010752205396934842,32373210.753585134,0.01,0.009798171293035762,2.0,1843.9250191863787,nan,53283.880346225706
1.02,3833.577302420913,9.685823703990565e-05,39579259.54032672,0.01,0.009797029237914237,2.0,1882.376574826682,nan,53498.45309538321
1.03,4220.815415541946,8.728366827853053e-05,48357447.60489351,0.01,0.009796244068456906,2.0,1919.3091131282881,nan,53711.139562075
1.04,4645.722622928201,7.868526314820654e-05,59041838.80249361,0.01,0.009795817497613064,2.0,1954.7833746687947,nan,53921.899009801135
1.05,5111.738698039396,7.096173410784554e-05,72035143.47987503,0.01,0.009795751116095538,2.0,1988.8526718741673,nan,54130.69160470828
1.06,5622.589483158791,6.402235220913466e-05,87822288.4531344,0.01,0.009796046397919932,2.0,2021.5629482565864,nan,54337.478420131
1.07,6182.3077828887845,5.778585569197111e-05,106986523.0661933,0.01,0.009796704705765371,2.0,2052.954053237104,nan,54542.22144068371
1.08,6795.254765746848,5.217947482367378e-05,130228500.54948899,0.01,0.009797727296114897,2.0,2083.0607767054985,nan,54744.883566066
1.09,7466.143007618949,4.713804816571375e-05,158388887.49427494,0.01,0.009799115324175071,2.0,2111.913323404063,nan,54945.428614611206
1.1,8200.060882417723,4.260322921479492e-05,192475101.85378316,0.01,0.009800869848593184,2.0,2139.53779935716,nan,55143.82132653384
1.11,9002.498441568847,3.8522771830207184e-05,233692904.58246937,0.01,0.009802991835971286,2.0,2165.9565908485342,nan,55340.02736690205
1.12,9879.375072518984,3.484989270558454e-05,283483658.2132678,0.01,0.00980548216518282,2.0,2191.1886695153225,nan,55534.01332833757
1.1300000000000001,10837.068902999,3.154269608315391e-05,343568250.2988951,0.01,0.009808341631497804,2.0,2215.249844685734,nan,55725.746733444445
1.1400000000000001,11882.447842255999,2.856366167570781e-05,415998760.14361,0.01,0.009811570950522545,2.0,2238.152977695831,nan,55915.196036967485
1.1500000000000001,13022.902084286008,2.5879187413102928e-05,503219126.48974305,0.01,0.009815170761960033,2.0,2259.9082418852568,nan,56102.330627679185
1.16,14266.377751676084,2.3459177662224203e-05,608136310.534402,0.01,0.0098191416331971,2.0,2280.523425967034,nan,56287.12082999432
1.17,15621.41255641418,2.1276677805943893e-05,734203558.4169137,0.01,0.009823484062724649,2.0,2300.0043878102615,nan,56469.5379053092
1.18,17097.17571045994,1.9307536587647792e-05,885518234.438983,0.01,0.00982819848337515,2.0,2318.3549134196764,nan,56649.554053151405
1.19,18703.510386050737,1.7530115295400356e-05,1066935959.6829499,0.01,0.00983328526538309,2.0,2335.5758129858546,nan,56827.14241214572
1.2,20450.977055500563,1.592502174356543e-05,1284204027.1476467,0.01,0.009838744719332573,2.0,2351.666240959218,nan,57002.277060556844
1.21,22350.90001370856,1.4474874465537827e-05,1544117019.2475374,0.01,0.00984457709891996,2.0,2366.6234287160337,nan,57174.93301671855
1.22,24415.41704858991,1.3164092807218214e-05,1854698033.9733171,0.01,0.009850782603576995,2.0,2380.4426338460544,nan,57345.08623918948
1.23,26657.53246499872,1.1978705995752447e-05,2225410029.6351933,0.01,0.009857361380946934,2.0,2393.1171540602145,nan,57512.7136266871
1.24,29091.174854712357,1.0906185383369114e-05,2667401463.6752467,0.01,0.009864313529218328,2.0,2404.638358886069,nan,57677.793017802054
1.25,31731.25973518394,9.93529111768254e-06,3193792648.7840476,0.01,0.009871639099321223,2.0,2414.995689789246,nan,57840.30319049326
1.26,34593.756990765534,9.055936645448602e-06,3820008724.1281567,0.01,0.009879338096990545,2.0,2424.1766344332154,nan,58000.22386136402
1.27,37695.76291670956,8.259071161128371e-06,4564164926.21181,0.01,0.009887410484701481,2.0,2432.1666425650396,nan,58157.535684717834
1.28,41055.57692527333,7.536568170402171e-06,5447516163.458587,0.01,0.009895856183481745,2.0,2438.9490708699996,nan,58312.220251391525
1.29,44692.78395262547,6.881130498338085e-06,6494976946.5089445,0.01,0.009904675074605632,2.0,2444.5052186925127,nan,58464.26008736247
1.3,48628.34805283528,6.286202455688758e-06,7735727316.390931,0.01,0.009913867001171929,2.0,2448.814603488119,nan,58613.63865213942
1.31,52884.71364374699,5.7458955547816175e-06,9203911407.6373,0.01,0.009923431769532675,2.0,2451.85422657935,nan,58760.340337109716
1.32,57485.91286221544,5.254913723754057e-06,10939458930.097921,0.01,0.009933369150653439,2.0,2453.597715390562,nan,58904.35046348586
1.33,62457.69254756085,4.808498695421453e-06,12989021418.89561,0.01,0.009943678881342378,2.0,2454.0171711663643,nan,59045.65528017204
1.34,67827.6487799486,4.402366767557349e-06,15407087224.03489,0.01,0.009954360665380557,2.0,2453.0821203912074,nan,59184.24196139463
1.35,73625.36272729738,4.032663266847311e-06,18257255281.53429,0.01,0.009965414174553237,2.0,2450.758783068513,nan,59320.098604126986
1.36,79882.55502300484,3.6959235744102373e-06,21613692332.843163,0.01,0.00997683904957867,2.0,2447.0098078128854,nan,59453.21422534276
1.37,86633.26301654484,3.389022764470448e-06,25562903833.15903,0.01,0.009988634900937769,2.0,2441.7942417109975,nan,59583.57875909755
1.3800000000000001,93914.04161160017,3.1091520422166927e-06,30205676768.590405,0.01,0.010000801309608192,2.0,2435.067546112618,nan,59711.183053436995
1.3900000000000001,101764.18712936387,2.853771080215815e-06,35659548109.81826,0.01,0.01001333782770631,2.0,2426.7814945757095,nan,59836.018867129154
1.4000000000000001,110225.98270480322,2.6206017004068847e-06,42061326102.20359,0.01,0.01002624397904067,2.0,2416.88383391565,nan,59958.07886621736
1.41,119344.9633805887,2.4075751653617488e-06,49570607430.09309,0.01,0.010039519259580618,2.0,2405.3176930613035,nan,60077.35662038916
1.42,129170.19945889358,2.2128380534913453e-06,58373092081.95013,0.01,0.010053163137843789,2.0,2392.020723802439,nan,60193.84659915552
1.43,139754.59948678425,2.0347057783176507e-06,68685409446.43953,0.01,0.010067175055206372,2.0,2376.924104024471,nan,60307.54416783343
1.44,151155.24218585854,1.8716677827215518e-06,80759653813.17136,0.01,0.01008155442614002,2.0,2359.9515689010373,nan,60418.44558332412
1.45,163433.79158720994,1.7223556212299786e-06,94889690359.3566,0.01,0.010096300638376155,2.0,2341.0188978800584,nan,60526.54798969707
1.46,176656.94813511817,1.5855331007546804e-06,111418013317.43448,0.01,0.010111413052901768,2.0,2320.0354757993714,nan,60631.849414136865
1.47,190896.876981604,1.4600765350449778e-06,130744431815.50302,0.01,0.010126891004004698,2.0,2296.8970817468607,nan,60734.34876201221
1.48,206231.78143341813,1.3449747743221648e-06,153335055326.48672,0.01,0.010142733799196313,2.0,2271.491113742733,nan,60834.04581212381
1.49,222746.53168910777,1.2393203692713525e-06,179732809378.47382,0.01,0.010158940719055057,2.0,2243.6935109268657,nan,60930.94121180364
1.5,240533.20251804736,1.1422779603357829e-06,210573267514.80038,0.01,0.010175511017026052,2.0,2213.364174914615,nan,61025.03647171763
1.51,259691.65817111664,1.0530970453073166e-06,246598031328.9484,0.01,0.010192443919148367,2.0,2180.343553805094,nan,61116.333960554686
1.52,280330.24065047665,9.710965070778902e-07,288673925410.373,0.01,0.010209738623712598,2.0,2144.4497046605657,nan,61204.836899596594
1.53,302566.5652987747,8.956618328075803e-07,337813395877.70135,0.01,0.010227394300851662,2.0,2105.4751275352796,nan,61290.54935716106
1.54,326528.4199770891,8.262395984122693e-07,395198221683.586,0.01,0.010245410092067676,2.0,2063.182659417679,nan,61373.47624291018
1.55,352354.753896148,7.623164872769142e-07,462215837879.62054,0.01,0.010263785109697991,2.0,2017.2996654750664,nan,61453.62330201524
1.56,380196.7288864567,7.034282619280963e-07,540491119654.9564,0.01,0.0102825184363235,2.0,1967.5096718891596,nan,61530.99710916759
1.57,410218.790624443,6.491695342139959e-07,631913189088.7784,0.01,0.010301609124122538,2.0,1913.4403881033315,nan,61605.60506242494
1.58,442599.7008248523,5.991396685369998e-07,738725415904.4546,0.01,0.010321056194173792,2.0,1854.6467296028134,nan,61677.45537688078
1.59,477533.45293475996,5.530064479014711e-07,863522396071.3055,0.01,0.01034085863571184,2.0,1790.5867800778087,nan,61746.557078143844
