initial_q_over_H,channel_q_over_H,left_mode,right_mode,external_frequency_closure_over_H,analytic_quartic_contact_real,constraint_schur_sum_real,reduced_quartic_contact_real,physical_exchange_sum_real,combined_kernel_real,combined_kernel_abs,total_imaginary_fraction,cancellation_ratio,maximum_pair_source_swap_relative_error,species_permutation_relative_error
50.0,57.73502691896258,physical_pair_2,physical_pair_3,0.0,-17.14899746465979,162.81965959476787,145.67066213010807,-165.631534367203,-19.960872237094918,19.960872237094918,9.7051758018467e-17,0.033459591006133986,1.8240011048111938e-16,2.977346636849026e-15
50.0,57.73502691896258,physical_pair_3,physical_pair_3,0.0,7.763227836443073,16.961948048711875,24.725175885154947,-25.24805897227023,-0.5228830871152823,0.5228830871152823,1.3571927210695841e-17,0.007224261878936941,1.4657952710438662e-16,0.0
75.0,86.60254037844388,physical_pair_1,physical_pair_1,0.0,0.023951711137956185,-11.5739212446706,-11.549969533532645,13.323314562532797,1.7733450290001525,1.7733450290001525,6.186270141476233e-17,0.05365070322350928,1.2122853218489018e-17,0.0
75.0,86.60254037844388,physical_pair_1,physical_pair_2,0.0,17.13636534462182,91.38753303609111,108.52389838071294,-111.02747038173067,-2.50357200101773,2.50357200101773,7.595465419633292e-17,0.010556044177165746,9.687941747070989e-17,1.7030423185798497e-14
75.0,86.60254037844388,physical_pair_1,physical_pair_3,0.0,0.5840389115240866,-7.109732367560794,-6.5256934560367075,7.720374362953571,1.1946809069168633,1.1946809069168633,7.69343051523011e-17,0.06837664730445683,7.857868817163567e-17,7.464661582030654e-16
75.0,86.60254037844388,physical_pair_2,physical_pair_2,0.0,-539.314236529117,567.2786365670986,27.96440003798159,-88.11827325913237,-60.153873221150775,60.153873221150775,9.348391515867311e-17,0.005458835953452761,2.4527363184629333e-16,0.0
75.0,86.60254037844388,physical_pair_2,physical_pair_3,0.0,3.1704687987681854,167.13213044330334,170.30259924207152,-185.4831580531725,-15.18055881110098,15.18055881110098,1.5508386364269405e-16,0.028776195482536477,2.4527363184629333e-16,1.131083704634199e-14
75.0,86.60254037844388,physical_pair_3,physical_pair_3,0.0,4.460590534819093,-5.259492537612362,-0.7989020027932687,1.8079794422239104,1.0090774394306417,1.0090774394306417,1.925623641250893e-16,0.01616253821432649,6.535536156739471e-17,0.0
100.0,115.47005383792516,physical_pair_1,physical_pair_1,0.0,0.007741797162476133,-12.89292223577661,-12.885180438614134,14.67026510723365,1.7850846686195165,1.7850846686195165,3.1771901603200353e-17,0.04850949783858524,1.8072590553452592e-17,0.0
100.0,115.47005383792516,physical_pair_1,physical_pair_2,0.0,17.523407753030476,102.15778573955674,119.68119349258723,-122.05934314378595,-2.3781496511987257,2.3781496511987257,7.031965879869974e-17,0.009223896126382407,1.4491155386819674e-16,3.579916366052112e-16
100.0,115.47005383792516,physical_pair_1,physical_pair_3,0.0,0.2929122334130273,-9.095215154648416,-8.80230292123539,10.009165787716015,1.2068628664806251,1.2068628664806251,1.1818859648558136e-17,0.05758840104940082,2.6606743906945343e-16,1.47193921354412e-15
100.0,115.47005383792516,physical_pair_2,physical_pair_2,0.0,-554.4071921626511,633.7912838293,79.38409166664894,-141.5514708163505,-62.16737914970156,62.16737914970156,4.5563208259855226e-17,0.0050209249669048535,5.2605876533888923e-17,0.0
100.0,115.47005383792516,physical_pair_2,physical_pair_3,0.0,11.789649739724915,168.53603100244356,180.3256807421685,-193.04952826886202,-12.723847526693532,12.723847526693532,4.621757740027808e-17,0.025705466345569788,1.9303262162957194e-16,5.0310064438602785e-15
100.0,115.47005383792516,physical_pair_3,physical_pair_3,0.0,2.7638677089356065,-16.404479103926583,-13.640611394990977,15.17256576212934,1.531954367138363,1.531954367138363,6.453713924616808e-17,0.023608729856538307,1.2057416863484466e-18,0.0
