case,family,t,initial_q_over_H,q_over_H,mode,Xi_participation,Q_rho_participation,Q_chi_participation,total_input_subspace_gain,within_tracked_subspace_gain,orthogonal_leakage_gain,full_transfer_gain,maximum_abs_pair_real_lambda_over_H,maximum_abs_pair_imag_lambda_over_H,assigned_subspace_overlap
on_shell_rho_initial_0.95,on_shell_background,6.99,0.01,0.017904795198936986,gauge_continuation_Xi,0.9999968340662757,3.165835444586673e-06,9.827967252838939e-11,6.013320876371628e+22,6.013300038542772e+22,1.5830624381229482e+20,6.013995179146132e+22,5444.566399349807,0.0,0.9999996155729395
on_shell_rho_initial_0.95,on_shell_background,6.99,0.01,0.017904795198936986,matter_radial,2.8248971045787813e-06,0.8911299923509316,0.10886718275196396,2.8861840229857473e+20,7.44204815220135e+17,2.88617442828002e+20,6.013995179146132e+22,1.5127599901246735e-14,19.10652021497426,0.9999998720646656
on_shell_rho_initial_0.95,on_shell_background,6.99,0.01,0.017904795198936986,matter_phase,5.586634100317455e-08,0.019055447001606697,0.9809444971320522,1.914931327771144e+20,1.6291130053277344e+17,1.9149306347933788e+20,6.013995179146132e+22,1.9775552950052415,0.0,0.9999624515207498
on_shell_rho_initial_0.95,on_shell_background,7.0,0.01,0.01789813526168614,gauge_continuation_Xi,0.9999971662849771,2.833623991301569e-06,9.103158391487493e-11,6.347134152598277e+22,6.347114237594871e+22,1.589987421025483e+20,6.347845887471109e+22,5526.061374168587,0.0,0.9999996739950916
on_shell_rho_initial_0.95,on_shell_background,7.0,0.01,0.01789813526168614,matter_radial,2.5203605707862786e-06,0.8882670340796213,0.11173044555980793,3.0464027381206044e+20,7.479026350138141e+17,3.046393557469809e+20,6.347845887471109e+22,6.750189646572924e-15,18.880634224306387,0.9999998805442394
on_shell_rho_initial_0.95,on_shell_background,7.0,0.01,0.01789813526168614,matter_phase,4.9675617969411276e-08,0.018954226456004516,0.9810457238683775,2.0212335713091663e+20,1.6107023181559056e+17,2.021232929532182e+20,6.347845887471109e+22,1.8745877615044153,0.0,0.9999596187492247
on_shell_rho_initial_0.95,on_shell_background,7.01,0.01,0.01789138330303534,gauge_continuation_Xi,0.9999974583402158,2.541575106391984e-06,8.467777027862172e-11,6.699703173638799e+22,6.699684112108017e+22,1.5981640504508232e+20,6.700454443782401e+22,5604.132131768806,0.0,0.9999997217645685
on_shell_rho_initial_0.95,on_shell_background,7.01,0.01,0.01789138330303534,matter_radial,2.2536360365619286e-06,0.8855254817680261,0.11447226459593723,3.2156235557765015e+20,7.522024266999187e+17,3.215614757960851e+20,6.700454443782401e+22,9.634980743747465e-15,18.668955808743654,0.9999998877391159
on_shell_rho_initial_0.95,on_shell_background,7.01,0.01,0.01789138330303534,matter_phase,4.40572551372959e-08,0.018770621203721027,0.9812293347390239,2.1335085483929554e+20,1.5926122769037824e+17,2.1335079539696943e+20,6.700454443782401e+22,1.7706086114167676,0.0,0.9999572470769575
on_shell_rho_initial_0.95,on_shell_background,7.0200000000000005,0.01,0.017884545539015494,gauge_continuation_Xi,0.9999977161701841,2.2837507272409535e-06,7.908861458684357e-11,7.072064429535037e+22,7.072046161563934e+22,1.6074333688926414e+20,7.072857454348504e+22,5678.8771016843,0.0,0.9999997610349491
on_shell_rho_initial_0.95,on_shell_background,7.0200000000000005,0.01,0.017884545539015494,matter_radial,2.0190201084226675e-06,0.8828971934889617,0.11710078749092977,3.3943439549771376e+20,7.57030487098346e+17,3.3943355130531794e+20,7.072857454348504e+22,2.065514678741241e-15,18.470184082043655,0.9999998937986824
on_shell_rho_initial_0.95,on_shell_background,7.0200000000000005,0.01,0.017884545539015494,matter_phase,3.896642464040819e-08,0.018508878903543528,0.9814910821300319,2.25208632743111e+20,1.575034034259241e+17,2.252085776667917e+20,7.072857454348504e+22,1.665465654809509,0.0,0.9999553786375107
on_shell_rho_initial_0.95,on_shell_background,7.03,0.01,0.017877628181926824,gauge_continuation_Xi,0.9999979447338373,2.0551920090679727e-06,7.415365631373604e-11,7.46537048011385e+22,7.465352954057221e+22,1.6176424338766725e+20,7.466207608238379e+22,5750.466302799628,0.0,0.9999997934051488
on_shell_rho_initial_0.95,on_shell_background,7.03,0.01,0.017877628181926824,matter_radial,1.8117690432622499e-06,0.8803743989734304,0.1196237892575262,3.583117124189608e+20,7.623162889765172e+17,3.5831090149545214e+20,7.466207608238379e+22,4.132761587972789e-15,18.283187021682537,0.9999998988522004
on_shell_rho_initial_0.95,on_shell_background,7.03,0.01,0.017877628181926824,matter_phase,3.4360674232927755e-08,0.018173595713804492,0.9818263699255213,2.377333939048627e+20,1.5581448736906566e+17,2.3773334284313202e+20,7.466207608238379e+22,1.5589605407100455,0.0,0.9999540396893971
on_shell_rho_initial_0.95,on_shell_background,7.04,0.01,0.017870637437246067,gauge_continuation_Xi,0.9999981480941078,1.8518361080973492e-06,6.978409714836687e-11,7.88082678634677e+22,7.880809957384925e+22,1.628655836231688e+20,7.881710501597736e+22,5818.99737241694,0.0,0.9999998203482068
on_shell_rho_initial_0.95,on_shell_background,7.04,0.01,0.017870637437246067,matter_radial,1.6280044776757122e-06,0.877949710919633,0.12204866107588924,3.782521642583056e+20,7.679975239817597e+17,3.782513845921723e+20,7.881710501597736e+22,0.0,18.10697551341003,0.99999990301385
on_shell_rho_initial_0.95,on_shell_background,7.04,0.01,0.017870637437246067,matter_phase,3.020180374226367e-08,0.017769695959509023,0.9822302738386872,2.509635260145858e+20,1.5421065663172262e+17,2.5096347863533257e+20,7.881710501597736e+22,1.4508308067614601,0.0,0.999953241375262
on_shell_rho_initial_0.95,on_shell_background,7.05,0.01,0.01786357950069594,gauge_continuation_Xi,0.999998329647811,1.6702862834746648e-06,6.590561948571417e-11,8.319685142412917e+22,8.319668971650581e+22,1.6403385042029992e+20,8.32061806897544e+22,5884.565686069331,0.0,0.99999984289651
on_shell_rho_initial_0.95,on_shell_background,7.05,0.01,0.01786357950069594,matter_radial,1.4644939803809851e-06,0.8756161285989666,0.12438240690705299,3.9931583276481996e+20,7.740119751873434e+17,3.9931508261287074e+20,8.32061806897544e+22,1.0340431684411291e-14,17.940682128488763,0.9999999063827685
on_shell_rho_initial_0.95,on_shell_background,7.05,0.01,0.01786357950069594,matter_phase,2.645446531734657e-08,0.017302418738337065,0.9826975548071976,2.6493889223506097e+20,1.5270492161547546e+17,2.649388482271866e+20,8.32061806897544e+22,1.3407219615220007,0.0,0.9999529804506058
on_shell_rho_initial_0.95,on_shell_background,7.0600000000000005,0.01,0.017856460555338752,gauge_continuation_Xi,0.9999984922480828,1.5076894614313504e-06,6.245583203734398e-11,8.783271644238041e+22,8.783256097916845e+22,1.6525582672185367e+20,8.784256554998782e+22,5947.261053369617,0.0,0.9999998618667738
on_shell_rho_initial_0.95,on_shell_background,7.0600000000000005,0.01,0.017856460555338752,matter_radial,1.3185306728985394e-06,0.8733670356656685,0.12663164580365857,4.215663659119359e+20,7.802988682069334e+17,4.215656437636641e+20,8.784256554998782e+22,6.89642390307616e-16,17.783543649093282,0.9999999090461953
on_shell_rho_initial_0.95,on_shell_background,7.0600000000000005,0.01,0.017856460555338752,matter_phase,2.3085995824806406e-08,0.0167773102536282,0.9832226666603759,2.7970172185496335e+20,1.513065092793951e+17,2.797016809298285e+20,8.784256554998782e+22,1.2281421730141446,0.0,0.9999532400340387
on_shell_rho_initial_0.95,on_shell_background,7.07,0.01,0.017849286768729968,gauge_continuation_Xi,0.9999986383025332,1.3616380846328883e-06,5.938219398417755e-11,9.272984960785426e+22,9.272970009626907e+22,1.665183210969465e+20,9.274024785470574e+22,6007.165545573149,0.0,0.9999998779079108
on_shell_rho_initial_0.95,on_shell_background,7.07,0.01,0.017849286768729968,matter_radial,1.187837070100285e-06,0.8711961940037112,0.1288026181592187,4.450708949254493e+20,7.867976036592356e+17,4.450701994733768e+20,9.274024785470574e+22,9.313924429701896e-15,17.63488659043935,0.999999911081249
on_shell_rho_initial_0.95,on_shell_background,7.07,0.01,0.017849286768729968,matter_phase,2.0066210748249788e-08,0.016200220748445723,0.9837997591853436,2.952965552384287e+20,1.5001998207500352e+17,2.952965171309803e+20,9.274024785470574e+22,1.1123847010535772,0.0,0.999953990412544
on_shell_rho_initial_0.95,on_shell_background,7.08,0.01,0.01784206429013267,gauge_continuation_Xi,0.9999987698522474,1.2300911122782802e-06,5.664031781741761e-11,9.790296087550621e+22,9.790281706206712e+22,1.67807932801678e+20,9.791393920836211e+22,6064.352465121688,0.0,0.9999998915376366
on_shell_rho_initial_0.95,on_shell_background,7.08,0.01,0.01784206429013267,matter_radial,1.0704879468406026e-06,0.8690977349329081,0.1309011945791451,4.699000224521244e+20,7.934466431039986e+17,4.698993525670486e+20,9.791393920836211e+22,2.0705884800888867e-15,17.494115135898433,0.9999999125564237
on_shell_rho_initial_0.95,on_shell_background,7.08,0.01,0.01784206429013267,matter_phase,1.736718422596024e-08,0.015577304979638103,0.9844226776531776,3.117702359751363e+20,1.4884446686072685e+17,3.117702004446815e+20,9.791393920836211e+22,0.9923856923900548,0.0,0.9999551899111924
on_shell_rho_initial_0.95,on_shell_background,7.09,0.01,0.017834799247793943,gauge_continuation_Xi,0.9999988886355353,1.1113102721356306e-06,5.4192578455254144e-11,1.0336749729716283e+23,1.0336735896308249e+23,1.6911084003693937e+20,1.0337908839493619e+23,6118.886273731688,0.0,0.9999999031707582
on_shell_rho_initial_0.95,on_shell_background,7.09,0.01,0.017834799247793943,matter_radial,9.648482900469446e-07,0.8670661487800855,0.13293288637162434,4.961278889462967e+20,8.001825144685687e+17,4.9612724365655684e+20,1.0337908839493619e+23,3.452350600281986e-16,17.360701028752537,0.9999999135328677
on_shell_rho_initial_0.95,on_shell_background,7.09,0.01,0.017834799247793943,matter_phase,1.4963032115809458e-08,0.014915025219542966,0.9850849598174248,3.2917195492663034e+20,1.4777304867730058e+17,3.291719217572264e+20,1.0337908839493619e+23,0.8664385311263822,0.0,0.999956785819126
