t,a,rho,rho_dot,Theta,mu,H,H_dot,energy_density,pressure,charge,friedmann_residual,continuity_residual
2.1,2.2667938696791365,0.2781610235970451,-0.3698402080264634,1.3411978264024564,1.2467720373740223,0.23204285248628093,-0.12388162317548115,0.16758909327787266,0.08946527481125074,1.1236102527122116,-1.5912271500440056e-12,-5.551115123125783e-17
2.11,2.272045864017223,0.27448311891769644,-0.36572226510918027,1.353788927819921,1.271549091450285,0.23080761570476607,-0.12316475680113484,0.1658095838934935,0.0897572864688613,1.1236102527122116,-1.4631906797291094e-12,0.0
2.12,2.277281978688604,0.2708469522183406,-0.3614921438447502,1.3666308294531937,1.2969324582478317,0.2295795767023371,-0.12244208480152118,0.16404985909738273,0.09001746686577372,1.1236102527122116,-1.5420997812043424e-12,0.0
2.13,2.282502212917029,0.26725365938844475,-0.35714701730005155,1.3797296029639619,1.3229235589793318,0.22835879301250941,-0.12171371171855715,0.16230983560408851,0.09024611621191758,1.1236102527122116,-1.758510004279401e-12,-2.7755575615628914e-17
2.14,2.287706568947107,0.2637044047436849,-0.35268402871123694,1.3930913253139823,1.3495219963998404,0.22714532112318303,-0.12097974208226138,0.16058942787826622,0.09044353694242616,1.1236102527122116,-1.6370793609610246e-12,2.7755575615628914e-17
2.15,2.292895052033241,0.2602003812746293,-0.3481003017244957,1.4067220594862333,1.3767253359679246,0.22593921647747575,-0.12024028042870051,0.15888854820250145,0.09061003368705214,1.1236102527122116,-1.6082135623207705e-12,-5.551115123125783e-17
2.16,2.298067670425654,0.2567428107850639,-0.3433929521487402,1.420627832969354,1.4045288722599878,0.22474053347277462,-0.11949543131377197,0.15720710673934934,0.0907459132367275,1.1236102527122116,-1.5842605005644828e-12,-8.326672684688674e-17
2.17,2.303224435357492,0.25333294390462735,-0.33855910137470824,1.4348146138163989,1.4329253809256721,0.2235493254606902,-0.1187452993307184,0.15554501159599726,0.09085148451524344,1.1236102527122116,-1.3913870056114774e-12,-2.7755575615628914e-17
2.18,2.308365361031349,0.24997205995844884,-0.33359589158115743,1.449288284151436,1.461904856790026,0.22236564474689904,-0.11798998912846645,0.15390216888855923,0.09092705855300867,1.1236102527122116,-1.530164883689622e-12,-2.7755575615628914e-17
2.19,2.313490464604115,0.24666146667567734,-0.3285005028453951,1.4640546110064365,1.4914542390593148,0.22118954259004392,-0.11722960542736262,0.152278482802596,0.09097294845918144,1.1236102527122116,-2.0082269180932144e-12,-8.326672684688674e-17
2.2,2.318599766171692,0.24340249971631697,-0.3232701722923269,1.4791192143477958,1.5215571250136009,0.22002106920072123,-0.11646425303622321,0.15067385565376012,0.09098946939640307,1.1236102527122116,-1.6987244944033364e-12,-5.551115123125783e-17
2.21,2.32369328875515,0.2401965219956412,-0.31790221541354896,1.4944875321582316,1.5521934740380825,0.218860273741727,-0.11569403687536169,0.14908818795351983,0.0909769385628557,1.1236102527122116,-1.5996093338799255e-12,0.0
2.22,2.328771058282774,0.23704492278533693,-0.31239404960855577,1.5101647825727829,1.5833393043910036,0.21770720432559362,-0.11491906198996808,0.14752137846409039,0.0909356751650934,1.1236102527122116,-1.5756562721236378e-12,2.7755575615628914e-17
2.23,2.3338331035739714,0.23394911656663125,-0.30674322008563343,1.5261559229237511,1.6149663857306458,0.21656190801367997,-0.11413943357031801,0.14597332425927684,0.09086600039913306,1.1236102527122116,-1.415950690031309e-12,-8.326672684688674e-17
2.24,2.338879456322405,0.230910541612292,-0.30094742816260994,1.5424656057070159,1.6470419310858093,0.21542443081483956,-0.11335525697159,0.14444392078394705,0.09076823743210222,1.1236102527122116,-1.6657786261475849e-12,-5.551115123125783e-17
